日期 开盘价 收盘价 最高价 最低价 成交量（手） 成交额（万元） 换手率 涨跌额 涨跌幅（%）
20211108 4.61 4.58 4.63 4.58 1027770.74 47304 0.00% -0.02 -0.43%
20211105 4.66 4.6 4.67 4.59 1599222.98 73769 0.00% -0.06 -1.29%
20211104 4.7 4.66 4.72 4.66 1103480.14 51565 0.00% -0.04 -0.85%
20211103 4.66 4.7 4.72 4.65 933894.01 43875 0.00% 0.03 0.64%
20211102 4.75 4.67 4.76 4.65 1746901.82 81984 0.00% -0.10 -2.10%
20211101 4.66 4.77 4.77 4.65 2389823.34 112660 0.00% 0.11 2.36%
20211029 4.61 4.66 4.67 4.6 1296006.78 60128 0.00% 0.05 1.08%
20211028 4.61 4.61 4.63 4.58 1132849.12 52065 0.00% -0.01 -0.22%
20211027 4.68 4.62 4.69 4.6 1560334.38 72234 0.00% -0.04 -0.86%
20211026 4.68 4.66 4.72 4.66 1288791.00 60346 0.00% -0.03 -0.64%
20211025 4.67 4.69 4.71 4.66 1384163.00 64817 0.00% -0.04 -0.85%
20211022 4.74 4.73 4.79 4.72 1598780.31 75933 0.00% 0.00 0.00%
20211021 4.67 4.73 4.75 4.66 1388474.79 65519 0.00% 0.06 1.28%
20211020 4.72 4.67 4.72 4.65 1202920.03 56234 0.00% -0.04 -0.85%
20211019 4.7 4.71 4.73 4.67 975485.31 45908 0.00% 0.00 0.00%
20211018 4.65 4.71 4.73 4.65 1510064.98 70974 0.00% 0.05 1.07%
20211015 4.72 4.66 4.73 4.64 2434010.52 113621 0.00% -0.06 -1.27%
20211014 4.73 4.72 4.74 4.68 1149049.52 54135 0.00% 0.00 0.00%
20211013 4.76 4.72 4.78 4.71 1742515.94 82408 0.00% -0.05 -1.05%
20211012 4.82 4.77 4.83 4.74 2065011.65 98780 0.00% -0.06 -1.24%
20211011 4.85 4.83 4.87 4.8 1497834.85 72522 0.00% -0.02 -0.41%
20211008 4.87 4.85 4.91 4.81 2055385.91 99549 0.00% 0.05 1.04%
20210930 4.82 4.8 4.84 4.76 1937660.07 92941 0.00% -0.02 -0.41%
20210929 4.85 4.82 4.88 4.79 2071234.02 99928 0.00% -0.05 -1.03%
20210928 4.85 4.87 4.92 4.83 2290833.07 111531 0.00% 0.03 0.62%
20210927 4.93 4.84 4.95 4.81 2352659.76 114260 0.00% -0.08 -1.63%
20210924 5.04 4.92 5.09 4.91 2358798.69 117588 0.00% -0.13 -2.57%
20210923 5.0 5.05 5.12 4.99 2995160.73 151422 0.00% 0.08 1.61%
20210922 4.85 4.97 5.01 4.84 3036621.62 149523 0.00% 0.05 1.02%
20210917 4.95 4.92 4.97 4.85 2996634.74 146956 0.00% -0.03 -0.61%
20210916 5.07 4.95 5.1 4.95 3292219.68 164946 0.00% -0.10 -1.98%
20210915 5.08 5.05 5.12 5.03 2920703.23 148133 0.00% -0.04 -0.79%
20210914 5.27 5.09 5.33 5.08 4676002.54 241397 0.00% -0.20 -3.78%
20210913 5.25 5.29 5.38 5.22 3943899.91 209401 0.00% 0.03 0.57%
20210910 5.4 5.26 5.48 5.25 6014260.62 322376 0.00% -0.09 -1.68%
20210909 5.24 5.35 5.45 5.18 5873578.73 312709 0.00% 0.12 2.29%
20210908 5.2 5.23 5.28 5.17 3564433.75 186133 0.00% 0.03 0.58%
20210907 5.14 5.2 5.23 5.11 4072835.29 211057 0.00% 0.05 0.97%
20210906 5.09 5.15 5.27 5.09 5429821.31 281293 0.00% 0.08 1.58%
20210903 5.16 5.07 5.23 5.06 4875967.83 249637 0.00% -0.12 -2.31%
20210902 5.1 5.19 5.24 5.06 7933559.07 409254 0.00% 0.07 1.37%
20210901 4.83 5.12 5.18 4.82 10453571.79 528317 0.00% 0.32 6.67%
20210831 4.69 4.8 4.8 4.69 3075808.06 146438 0.00% 0.11 2.35%
20210830 4.75 4.69 4.77 4.68 2064805.80 97283 0.00% -0.04 -0.85%
20210827 4.63 4.73 4.74 4.62 2624080.12 122926 0.00% 0.10 2.16%
20210826 4.63 4.63 4.66 4.61 1458011.05 67597 0.00% -0.01 -0.22%
20210825 4.62 4.64 4.66 4.58 1608032.07 74263 0.00% 0.03 0.65%
20210824 4.63 4.61 4.65 4.59 1357920.61 62635 0.00% -0.02 -0.43%
20210823 4.68 4.63 4.69 4.63 1253429.35 58271 0.00% -0.04 -0.86%
20210820 4.71 4.67 4.72 4.63 1397251.55 65174 0.00% -0.03 -0.64%
20210819 4.78 4.7 4.78 4.68 1915275.44 90410 0.00% -0.06 -1.26%
20210818 4.65 4.76 4.76 4.63 2789050.63 131595 0.00% 0.11 2.37%
20210817 4.7 4.65 4.78 4.61 2845527.77 133970 0.00% -0.05 -1.06%
20210816 4.62 4.7 4.75 4.61 1645484.16 77333 0.00% 0.07 1.51%
20210813 4.68 4.63 4.69 4.61 1224951.37 56929 0.00% -0.06 -1.28%
20210812 4.69 4.69 4.71 4.67 1065997.77 49969 0.00% -0.02 -0.42%
20210811 4.65 4.71 4.82 4.65 3603132.45 170935 0.00% 0.06 1.29%
20210810 4.63 4.65 4.65 4.6 1196700.52 55331 0.00% 0.00 0.00%
20210809 4.54 4.65 4.68 4.52 2202398.11 102151 0.00% 0.10 2.20%
20210806 4.58 4.55 4.58 4.53 1042867.01 47432 0.00% -0.04 -0.87%
20210805 4.53 4.59 4.62 4.53 1696450.81 77726 0.00% 0.04 0.88%
20210804 4.58 4.55 4.58 4.53 1305897.40 59458 0.00% -0.05 -1.09%
20210803 4.51 4.6 4.6 4.5 2162835.05 98993 0.00% 0.07 1.55%
20210802 4.45 4.53 4.56 4.39 2083041.93 93470 0.00% 0.07 1.57%
20210730 4.41 4.46 4.49 4.38 1449966.83 64516 0.00% 0.03 0.68%
20210729 4.5 4.43 4.52 4.42 1825535.40 81276 0.00% -0.06 -1.34%
20210728 4.5 4.49 4.52 4.46 1842533.42 82604 0.00% -0.03 -0.66%
20210727 4.58 4.52 4.6 4.48 2552726.49 115556 0.00% -0.06 -1.31%
20210726 4.67 4.58 4.69 4.57 2094670.63 96539 0.00% -0.10 -2.14%
20210723 4.63 4.68 4.71 4.62 1948972.32 91212 0.00% 0.05 1.08%
20210722 4.6 4.63 4.65 4.59 1151745.07 53373 0.00% 0.03 0.65%
20210721 4.65 4.6 4.66 4.59 1583719.19 73064 0.00% -0.05 -1.08%
20210720 4.65 4.65 4.68 4.61 1182794.38 54887 0.00% -0.02 -0.43%
20210719 4.66 4.67 4.67 4.6 1358517.64 62914 0.00% 0.00 0.00%
20210716 4.69 4.67 4.7 4.66 913445.94 42721 0.00% -0.03 -0.64%
20210715 4.66 4.7 4.71 4.64 1348569.68 63115 0.00% 0.03 0.64%
20210714 4.69 4.67 4.71 4.64 1996487.33 93187 0.00% -0.02 -0.43%
20210713 4.62 4.69 4.77 4.61 3288427.34 154407 0.00% 0.11 2.40%
20210712 4.61 4.58 4.63 4.57 1280589.49 58835 0.00% -0.02 -0.43%
20210709 4.6 4.6 4.63 4.58 742549.10 34155 0.00% 0.00 0.00%
20210708 4.65 4.6 4.66 4.58 1118219.27 51496 0.00% -0.06 -1.29%
20210707 4.65 4.66 4.68 4.61 976217.88 45315 0.00% 0.00 0.00%
20210706 4.6 4.66 4.67 4.59 1152554.21 53449 0.00% 0.06 1.30%
20210705 4.63 4.6 4.64 4.58 1190211.58 54775 0.00% -0.03 -0.65%
20210702 4.66 4.63 4.69 4.62 990842.86 46030 0.00% -0.04 -0.86%
20210701 4.65 4.67 4.71 4.63 1266621.66 59227 0.00% 0.02 0.43%
20210630 4.71 4.65 4.71 4.62 1739070.66 81143 0.00% -0.24 -4.91%
20210629 4.91 4.89 4.92 4.87 979761.47 47968 0.00% -0.02 -0.41%
20210628 4.92 4.91 4.93 4.88 913620.38 44819 0.00% -0.01 -0.20%
20210625 4.87 4.92 4.94 4.86 1422359.34 69840 0.00% 0.05 1.03%
20210624 4.81 4.87 4.9 4.8 2092525.05 101880 0.00% 0.06 1.25%
20210623 4.8 4.81 4.82 4.79 1027785.54 49381 0.00% 0.02 0.42%
20210622 4.82 4.79 4.84 4.78 1257086.96 60453 0.00% -0.02 -0.42%
20210621 4.82 4.81 4.84 4.8 1191312.59 57366 0.00% -0.02 -0.41%
20210618 4.83 4.83 4.84 4.8 1301064.99 62650 0.00% 0.00 0.00%
20210617 4.88 4.83 4.89 4.83 1471688.42 71397 0.00% -0.05 -1.02%
20210616 4.86 4.88 4.93 4.85 1274569.70 62368 0.00% 0.02 0.41%
20210615 4.9 4.86 4.92 4.85 1404100.40 68412 0.00% -0.06 -1.22%
20210611 4.86 4.92 4.92 4.85 2190643.76 107258 0.00% 0.06 1.23%
20210610 4.89 4.86 4.89 4.85 1388103.62 67640 0.00% -0.03 -0.61%
20210609 4.87 4.89 4.91 4.86 1066996.77 52134 0.00% 0.03 0.62%
20210608 4.87 4.86 4.88 4.85 964604.95 46894 0.00% -0.01 -0.21%
20210607 4.89 4.87 4.89 4.85 1076076.01 52379 0.00% -0.02 -0.41%
20210604 4.88 4.89 4.92 4.86 1046101.77 51075 0.00% 0.01 0.20%
20210603 4.9 4.88 4.91 4.88 942030.19 46106 0.00% -0.02 -0.41%
20210602 4.91 4.9 4.92 4.88 879529.52 43025 0.00% -0.01 -0.20%
20210601 4.9 4.91 4.92 4.89 1064479.20 52202 0.00% 0.02 0.41%
20210531 4.9 4.89 4.91 4.88 963493.40 47090 0.00% -0.01 -0.20%
20210528 4.97 4.9 4.97 4.89 1741117.47 85607 0.00% -0.06 -1.21%
20210527 4.97 4.96 4.98 4.94 1012948.71 50198 0.00% -0.01 -0.20%
20210526 4.96 4.97 4.98 4.94 1517408.17 75237 0.00% 0.00 0.00%
20210525 4.87 4.97 4.97 4.85 2908626.85 142786 0.00% 0.11 2.26%
20210524 4.93 4.86 4.93 4.85 2459560.48 120004 0.00% -0.06 -1.22%
