日期 开盘价 收盘价 最高价 最低价 成交量（手） 成交额（万元） 换手率 涨跌额 涨跌幅（%）
20211108 11.95 11.69 11.98 11.33 267265.63 31173 0.00% -0.31 -2.58%
20211105 11.76 12.0 12.08 11.74 196727.90 23461 0.00% 0.10 0.84%
20211104 12.0 11.9 12.19 11.71 185805.35 22145 0.00% 0.03 0.25%
20211103 11.85 11.87 12.14 11.75 178311.23 21225 0.00% 0.05 0.42%
20211102 11.9 11.82 12.19 11.68 186482.15 22217 0.00% -0.03 -0.25%
20211101 12.02 11.85 12.22 11.68 218938.62 26003 0.00% -0.12 -1.00%
20211029 12.02 11.97 12.06 11.6 261265.52 31036 0.00% -0.06 -0.50%
20211028 12.18 12.03 12.3 11.78 255370.20 30743 0.00% -0.12 -0.99%
20211027 12.31 12.15 12.32 11.96 218980.44 26614 0.00% -0.13 -1.06%
20211026 12.07 12.28 12.6 12.0 241977.23 29863 0.00% 0.25 2.08%
20211025 12.28 12.03 12.28 11.55 345118.32 40933 0.00% -0.12 -0.99%
20211022 12.29 12.15 12.56 12.1 281366.43 34581 0.00% -0.03 -0.25%
20211021 12.29 12.18 12.39 12.05 241856.48 29551 0.00% -0.01 -0.08%
20211020 12.08 12.19 12.47 12.01 348269.05 42576 0.00% 0.02 0.16%
20211019 11.74 12.17 12.3 11.59 439765.64 53089 0.00% 0.41 3.49%
20211018 11.34 11.76 11.81 11.22 450481.16 51886 0.00% 0.50 4.44%
20211015 10.71 11.26 11.39 10.56 405587.36 44779 0.00% 0.61 5.73%
20211014 10.42 10.65 10.85 10.42 163544.63 17385 0.00% 0.17 1.62%
20211013 10.5 10.48 10.61 10.44 104774.43 11013 0.00% -0.04 -0.38%
20211012 10.61 10.52 10.75 10.37 182610.59 19142 0.00% -0.17 -1.59%
20211011 10.56 10.69 10.83 10.4 193637.73 20622 0.00% 0.09 0.85%
20211008 10.68 10.6 10.78 10.35 183567.41 19249 0.00% -0.09 -0.84%
20210930 10.25 10.69 10.72 10.25 296685.21 31370 0.00% 0.44 4.29%
20210929 10.8 10.25 10.83 10.17 299541.22 31004 0.00% -0.54 -5.00%
20210928 10.2 10.79 10.89 10.2 337437.89 35942 0.00% 0.64 6.31%
20210927 10.6 10.15 10.68 10.13 209427.29 21631 0.00% -0.52 -4.87%
20210924 10.76 10.67 10.82 10.57 156398.88 16629 0.00% -0.06 -0.56%
20210923 10.6 10.73 10.86 10.55 236792.60 25388 0.00% 0.11 1.04%
20210922 10.18 10.62 10.7 10.03 269558.36 28260 0.00% 0.35 3.41%
20210917 10.34 10.27 10.4 9.94 306191.22 31014 0.00% -0.05 -0.48%
20210916 10.48 10.32 10.99 10.27 352373.52 37468 0.00% -0.12 -1.15%
20210915 10.1 10.44 10.61 10.01 284217.26 29477 0.00% 0.35 3.47%
20210914 10.15 10.09 10.29 10.02 169632.86 17237 0.00% -0.10 -0.98%
20210913 10.27 10.19 10.33 10.06 182916.65 18650 0.00% -0.13 -1.26%
20210910 10.3 10.32 10.45 10.07 240914.75 24643 0.00% 0.02 0.19%
