日期 开盘价 收盘价 最高价 最低价 成交量（手） 成交额（万元） 换手率 涨跌额 涨跌幅（%）
20211108 51.32 51.3 51.9 50.8 386749.06 198438 0.00% -0.26 -0.50%
20211105 51.72 51.56 52.11 51.42 361974.16 187133 0.00% -0.19 -0.37%
20211104 52.0 51.75 52.1 51.28 482914.75 249282 0.00% 0.05 0.10%
20211103 52.35 51.7 52.49 51.67 444372.41 231247 0.00% -0.55 -1.05%
20211102 54.35 52.25 54.49 51.67 752206.49 395718 0.00% -1.87 -3.46%
20211101 54.0 54.12 54.9 53.3 425017.81 230086 0.00% 0.15 0.28%
20211029 54.22 53.97 54.75 53.7 405439.43 219766 0.00% -0.25 -0.46%
20211028 54.3 54.22 55.0 53.85 346232.28 188301 0.00% -0.30 -0.55%
20211027 55.2 54.52 55.2 53.83 420394.41 228732 0.00% -0.78 -1.41%
20211026 54.59 55.3 56.23 54.3 715423.69 396179 0.00% 0.71 1.30%
20211025 53.83 54.59 54.93 53.1 623341.26 337697 0.00% 0.30 0.55%
20211022 54.09 54.29 54.8 53.73 547150.58 296709 0.00% 0.54 1.00%
20211021 52.85 53.75 54.0 52.6 576586.98 308432 0.00% 1.35 2.58%
20211020 53.21 52.4 53.64 52.28 305709.59 161234 0.00% -0.48 -0.91%
20211019 52.25 52.88 53.32 52.0 481692.57 254562 0.00% 1.02 1.97%
20211018 53.31 51.86 53.35 51.55 577945.39 300807 0.00% -1.45 -2.72%
20211015 52.45 53.31 53.44 52.35 420357.59 223015 0.00% 0.95 1.81%
20211014 52.99 52.36 53.25 52.2 288996.21 151801 0.00% -0.67 -1.26%
20211013 52.95 53.03 53.4 52.05 442556.73 233553 0.00% -0.06 -0.11%
20211012 52.7 53.09 53.79 52.3 589373.29 312972 0.00% 0.09 0.17%
20211011 51.44 53.0 54.18 51.44 971778.65 517137 0.00% 2.07 4.06%
20211008 50.02 50.93 51.08 50.02 645552.92 326692 0.00% 0.48 0.95%
20210930 51.4 50.45 51.43 50.1 586118.08 296062 0.00% -1.11 -2.15%
20210929 49.95 51.56 52.17 49.61 904609.86 461932 0.00% 1.14 2.26%
20210928 49.1 50.42 50.98 49.09 709925.47 356262 0.00% 1.33 2.71%
20210927 48.29 49.09 49.8 48.21 667905.15 326583 0.00% 0.32 0.66%
20210924 48.45 48.77 49.33 48.4 532039.33 259641 0.00% -0.07 -0.14%
20210923 49.5 48.84 50.53 48.61 861024.53 424632 0.00% -0.57 -1.15%
20210922 48.68 49.41 49.98 48.1 1122596.22 549205 0.00% -1.84 -3.59%
20210917 50.78 51.25 51.54 50.5 420164.72 214369 0.00% 0.55 1.08%
20210916 51.23 50.7 51.83 50.21 629896.14 319387 0.00% -0.70 -1.36%
