日期 开盘价 收盘价 最高价 最低价 成交量（手） 成交额（万元） 换手率 涨跌额 涨跌幅（%）
20211108 9.41 9.41 9.51 9.4 140272.71 13254 0.00% -0.03 -0.32%
20211105 9.54 9.44 9.57 9.43 227697.64 21622 0.00% -0.15 -1.56%
20211104 9.76 9.59 9.76 9.55 278416.35 26739 0.00% -0.17 -1.74%
20211103 9.63 9.76 9.8 9.52 364260.79 35295 0.00% 0.19 1.99%
20211102 10.05 9.57 10.05 9.49 645723.32 62453 0.00% -0.41 -4.11%
20211101 9.81 9.98 10.07 9.77 541690.59 53980 0.00% 0.28 2.89%
20211029 9.97 9.7 10.0 9.65 464696.07 45343 0.00% -0.24 -2.41%
20211028 10.04 9.94 10.1 9.89 229753.78 22889 0.00% -0.11 -1.09%
20211027 10.07 10.05 10.15 9.92 262460.16 26297 0.00% -0.05 -0.50%
20211026 10.08 10.1 10.26 10.01 258696.28 26172 0.00% 0.02 0.20%
20211025 9.99 10.08 10.09 9.84 301677.42 30201 0.00% 0.00 0.00%
20211022 10.1 10.08 10.34 10.04 380582.86 38662 0.00% 0.02 0.20%
20211021 10.07 10.06 10.12 9.89 357772.92 35816 0.00% 0.17 1.72%
20211020 10.08 9.89 10.11 9.84 288434.10 28611 0.00% -0.15 -1.49%
20211019 9.73 10.04 10.11 9.73 461624.13 46116 0.00% 0.26 2.66%
20211018 9.82 9.78 10.02 9.71 413072.29 40626 0.00% -0.06 -0.61%
20211015 9.62 9.84 9.92 9.58 474127.42 46478 0.00% 0.26 2.71%
20211014 9.8 9.58 9.81 9.58 178886.80 17251 0.00% -0.15 -1.54%
20211013 9.82 9.73 9.83 9.58 336747.60 32738 0.00% -0.03 -0.31%
20211012 9.58 9.76 9.88 9.56 622165.79 60843 0.00% 0.12 1.24%
20211011 9.2 9.64 9.73 9.2 753736.75 71860 0.00% 0.45 4.90%
20211008 9.05 9.19 9.24 9.05 255018.66 23301 0.00% 0.14 1.55%
20210930 9.11 9.05 9.11 8.96 223248.72 20147 0.00% -0.09 -0.98%
20210929 9.01 9.14 9.22 9.0 319371.53 29117 0.00% 0.07 0.77%
20210928 8.91 9.07 9.16 8.84 409843.94 37036 0.00% 0.18 2.02%
20210927 8.95 8.89 9.03 8.74 384416.71 33990 0.00% -0.09 -1.00%
20210924 9.06 8.98 9.1 8.95 243107.52 21897 0.00% -0.08 -0.88%
20210923 9.1 9.06 9.25 9.01 276546.38 25124 0.00% 0.00 0.00%
20210922 9.02 9.06 9.12 9.0 391292.90 35399 0.00% -0.23 -2.48%
20210917 9.29 9.29 9.39 9.2 221674.77 20550 0.00% 0.02 0.22%
20210916 9.28 9.27 9.42 9.27 286995.87 26801 0.00% -0.04 -0.43%
20210915 9.4 9.31 9.46 9.27 278964.60 26097 0.00% -0.15 -1.59%
20210914 9.73 9.46 9.78 9.43 385598.32 36872 0.00% -0.30 -3.07%
20210913 9.76 9.76 9.85 9.63 300149.12 29190 0.00% 0.00 0.00%
20210910 9.61 9.76 9.97 9.61 545311.39 53540 0.00% 0.16 1.67%
20210909 9.65 9.6 9.74 9.58 351580.47 33872 0.00% -0.13 -1.34%
20210908 9.66 9.73 9.83 9.54 555339.96 53855 0.00% 0.03 0.31%
20210907 9.47 9.7 9.72 9.36 554500.89 52843 0.00% 0.24 2.54%
20210906 9.43 9.46 9.57 9.39 300141.12 28476 0.00% 0.00 0.00%
20210903 9.58 9.46 9.62 9.28 669779.00 63296 0.00% -0.09 -0.94%
