日期 开盘价 收盘价 最高价 最低价 成交量（手） 成交额（万元） 换手率 涨跌额 涨跌幅（%）
20211108 7.99 8.01 8.34 7.91 222537.90 17941 0.00% 0.02 0.25%
20211105 8.25 7.99 8.42 7.99 248470.75 20333 0.00% -0.43 -5.11%
20211104 8.15 8.42 8.42 8.0 275176.90 22575 0.00% 0.27 3.31%
20211103 8.12 8.15 8.2 7.76 246773.75 19730 0.00% 0.05 0.62%
20211102 8.1 8.1 8.55 7.99 380838.83 31293 0.00% 0.09 1.12%
20211101 7.54 8.01 8.09 7.5 395921.22 31168 0.00% 0.51 6.80%
20211029 7.5 7.5 7.64 7.24 179150.20 13295 0.00% 0.01 0.13%
20211028 7.35 7.49 7.72 7.35 274478.67 20707 0.00% 0.07 0.94%
20211027 7.39 7.42 7.48 7.28 127034.82 9361 0.00% 0.00 0.00%
20211026 7.57 7.42 7.58 7.37 172323.48 12864 0.00% -0.14 -1.85%
20211025 7.15 7.56 7.59 7.14 278081.36 20738 0.00% 0.38 5.29%
20211022 7.32 7.18 7.38 7.11 163078.73 11785 0.00% -0.17 -2.31%
20211021 7.39 7.35 7.47 7.25 155711.59 11458 0.00% -0.03 -0.41%
20211020 7.31 7.38 7.47 7.27 181620.78 13402 0.00% 0.01 0.14%
20211019 7.2 7.37 7.43 7.2 208188.00 15293 0.00% 0.09 1.24%
20211018 6.92 7.28 7.31 6.88 239011.00 17046 0.00% 0.30 4.30%
20211015 7.2 6.98 7.2 6.82 137005.00 9551 0.00% 0.00 0.00%
20211014 6.65 6.98 7.09 6.55 171742.20 11834 0.00% 0.31 4.65%
20211013 6.59 6.67 6.73 6.5 119277.00 7908 0.00% 0.14 2.14%
20211012 6.84 6.53 6.84 6.39 198665.04 13075 0.00% -0.32 -4.67%
20211011 6.86 6.85 6.93 6.57 193757.82 13064 0.00% -0.09 -1.30%
20211008 6.8 6.94 7.11 6.8 305800.86 21288 0.00% -0.10 -1.42%
20210930 6.95 7.04 7.06 6.75 265823.20 18526 0.00% 0.31 4.61%
20210929 6.81 6.73 7.08 6.6 270721.00 18503 0.00% -0.08 -1.17%
20210928 6.45 6.81 6.87 6.4 318825.60 21484 0.00% 0.35 5.42%
20210927 7.03 6.46 7.18 6.29 394728.39 25919 0.00% -0.52 -7.45%
20210924 7.3 6.98 7.31 6.93 284559.71 20123 0.00% -0.23 -3.19%
20210923 7.5 7.21 7.58 7.13 427741.08 31306 0.00% -0.29 -3.87%
20210922 7.03 7.5 7.64 6.87 555219.92 40850 0.00% 0.47 6.69%
20210917 6.82 7.03 7.12 6.82 427360.92 29821 0.00% 0.23 3.38%
20210916 7.09 6.8 7.17 6.79 577025.37 40202 0.00% -0.45 -6.21%
20210915 7.02 7.25 7.47 6.8 814548.83 57861 0.00% -0.27 -3.59%
20210914 7.52 7.52 7.7 7.52 294868.50 22241 0.00% -0.83 -9.94%
20210913 8.65 8.35 8.67 7.99 1287460.10 107329 0.00% 0.36 4.51%
20210910 7.99 7.99 7.99 7.99 97181.66 7765 0.00% 0.73 10.06%
20210909 6.54 7.26 7.26 6.52 487809.01 34925 0.00% 0.66 10.00%
20210908 6.31 6.6 6.71 6.31 321045.89 20959 0.00% 0.33 5.26%
20210907 6.26 6.27 6.34 6.16 173119.48 10797 0.00% 0.01 0.16%
20210906 6.52 6.26 6.57 6.12 225283.90 14075 0.00% -0.12 -1.88%
20210903 6.49 6.38 6.7 6.3 504529.91 32760 0.00% 0.00 0.00%
20210902 5.82 6.38 6.38 5.75 348713.31 21721 0.00% 0.58 10.00%
20210901 6.01 5.8 6.24 5.8 176262.83 10473 0.00% -0.21 -3.49%
20210831 6.12 6.01 6.12 5.92 109219.50 6578 0.00% -0.16 -2.59%
20210830 5.94 6.17 6.2 5.91 156367.63 9551 0.00% 0.25 4.22%
20210827 6.0 5.92 6.01 5.9 55270.59 3278 0.00% -0.08 -1.33%
20210826 6.06 6.0 6.12 5.99 57076.00 3443 0.00% -0.05 -0.83%
20210825 5.91 6.05 6.08 5.83 97838.01 5875 0.00% 0.14 2.37%
20210824 6.0 5.91 6.03 5.88 61402.82 3649 0.00% -0.06 -1.01%
20210823 5.91 5.97 6.12 5.85 84985.39 5085 0.00% 0.07 1.19%
20210820 5.86 5.9 5.91 5.73 58893.66 3434 0.00% 0.00 0.00%
20210819 5.96 5.9 5.98 5.8 54776.00 3223 0.00% -0.04 -0.67%
20210818 5.92 5.94 6.01 5.9 63462.95 3777 0.00% 0.00 0.00%
20210817 6.01 5.94 6.13 5.9 101582.00 6097 0.00% -0.14 -2.30%
20210816 5.97 6.08 6.14 5.93 105037.00 6352 0.00% 0.04 0.66%
20210813 6.06 6.04 6.13 6.0 108804.00 6600 0.00% -0.09 -1.47%
20210812 6.12 6.13 6.15 5.95 160864.55 9731 0.00% 0.06 0.99%
20210811 5.8 6.07 6.07 5.8 179956.69 10764 0.00% 0.30 5.20%
20210810 5.74 5.77 5.86 5.73 81308.04 4714 0.00% 0.01 0.17%
20210809 5.61 5.76 5.77 5.57 79224.00 4515 0.00% 0.15 2.67%
20210806 5.56 5.61 5.65 5.54 41007.80 2291 0.00% 0.05 0.90%
20210805 5.69 5.56 5.71 5.53 57776.00 3228 0.00% -0.18 -3.14%
20210804 5.7 5.74 5.75 5.63 59380.80 3377 0.00% -0.02 -0.35%
20210803 5.64 5.76 5.8 5.6 95492.69 5471 0.00% 0.09 1.59%
20210802 5.77 5.67 5.79 5.61 70278.69 3986 0.00% -0.07 -1.22%
20210730 5.72 5.74 5.77 5.67 73073.00 4182 0.00% -0.04 -0.69%
20210729 5.84 5.78 5.84 5.65 118332.11 6806 0.00% 0.04 0.70%
20210728 5.46 5.74 5.88 5.32 151768.43 8587 0.00% 0.23 4.17%
20210727 5.65 5.51 5.75 5.5 119749.04 6755 0.00% -0.19 -3.33%
20210726 5.35 5.7 5.73 5.32 165936.50 9229 0.00% 0.33 6.15%
20210723 5.35 5.37 5.42 5.31 24790.20 1328 0.00% 0.02 0.37%
20210722 5.27 5.35 5.36 5.27 23078.00 1230 0.00% 0.05 0.94%
20210721 5.29 5.3 5.36 5.28 20799.42 1107 0.00% 0.02 0.38%
20210720 5.27 5.28 5.3 5.18 21308.00 1114 0.00% 0.02 0.38%
20210719 5.31 5.26 5.31 5.25 21855.95 1152 0.00% -0.06 -1.13%
20210716 5.35 5.32 5.38 5.29 20579.00 1097 0.00% -0.03 -0.56%
20210715 5.4 5.35 5.4 5.29 20379.00 1088 0.00% -0.05 -0.93%
20210714 5.41 5.4 5.43 5.38 18908.46 1022 0.00% -0.01 -0.18%
20210713 5.37 5.41 5.45 5.34 29146.42 1575 0.00% 0.05 0.93%
20210712 5.37 5.36 5.43 5.35 23870.38 1282 0.00% -0.01 -0.19%
20210709 5.29 5.37 5.38 5.24 20261.00 1075 0.00% 0.08 1.51%
20210708 5.36 5.29 5.39 5.28 22611.00 1200 0.00% -0.06 -1.12%
20210707 5.38 5.35 5.4 5.33 12092.00 646 0.00% -0.02 -0.37%
20210706 5.4 5.37 5.4 5.32 18452.00 986 0.00% -0.01 -0.19%
20210705 5.33 5.38 5.39 5.32 13024.20 697 0.00% 0.04 0.75%
20210702 5.34 5.34 5.4 5.32 15509.07 829 0.00% -0.01 -0.19%
20210701 5.46 5.35 5.46 5.35 22457.00 1211 0.00% -0.11 -2.01%
20210630 5.44 5.46 5.47 5.42 15550.00 847 0.00% 0.03 0.55%
20210629 5.46 5.43 5.49 5.42 19577.00 1068 0.00% -0.02 -0.37%
20210628 5.45 5.45 5.47 5.43 14985.00 817 0.00% 0.00 0.00%
20210625 5.5 5.45 5.52 5.42 25200.00 1374 0.00% -0.04 -0.73%
20210624 5.36 5.49 5.49 5.34 42652.00 2315 0.00% 0.13 2.43%
20210623 5.39 5.36 5.4 5.35 19726.09 1058 0.00% -0.04 -0.74%
20210622 5.4 5.4 5.41 5.36 15773.00 849 0.00% 0.01 0.19%
20210621 5.38 5.39 5.44 5.37 18508.80 999 0.00% -0.02 -0.37%
20210618 5.35 5.41 5.42 5.28 24379.00 1300 0.00% 0.07 1.31%
20210617 5.37 5.34 5.42 5.32 24710.08 1324 0.00% -0.04 -0.74%
20210616 5.45 5.38 5.45 5.36 17778.00 959 0.00% -0.06 -1.10%
20210615 5.47 5.44 5.51 5.42 20907.20 1141 0.00% -0.03 -0.55%
20210611 5.51 5.47 5.52 5.44 20967.58 1148 0.00% -0.03 -0.55%
20210610 5.43 5.5 5.52 5.38 40250.11 2206 0.00% 0.11 2.04%
20210609 5.39 5.39 5.39 5.36 19198.62 1032 0.00% -0.01 -0.19%
20210608 5.43 5.4 5.43 5.39 18314.20 989 0.00% -0.01 -0.18%
20210607 5.41 5.41 5.45 5.39 25340.00 1371 0.00% 0.00 0.00%
20210604 5.5 5.41 5.5 5.4 35922.00 1949 0.00% -0.07 -1.28%
20210603 5.47 5.48 5.54 5.46 32444.00 1780 0.00% -0.01 -0.18%
20210602 5.51 5.49 5.56 5.46 31681.00 1743 0.00% -0.03 -0.54%
20210601 5.53 5.52 5.53 5.46 23689.07 1302 0.00% 0.02 0.36%
20210531 5.52 5.5 5.53 5.44 37529.16 2054 0.00% -0.02 -0.36%
20210528 5.58 5.52 5.63 5.5 32582.00 1809 0.00% -0.07 -1.25%
20210527 5.62 5.59 5.65 5.55 34647.67 1939 0.00% -0.02 -0.36%
20210526 5.63 5.61 5.63 5.57 32062.99 1795 0.00% -0.03 -0.53%
20210525 5.66 5.64 5.66 5.55 41174.06 2306 0.00% -0.07 -1.23%
20210524 5.65 5.71 5.73 5.62 39835.00 2266 0.00% 0.09 1.60%
20210521 5.71 5.62 5.71 5.61 40198.48 2267 0.00% -0.09 -1.58%
20210520 5.57 5.71 5.74 5.49 61024.46 3425 0.00% 0.19 3.44%
20210519 5.52 5.52 5.58 5.51 19555.40 1083 0.00% -0.01 -0.18%
20210518 5.53 5.53 5.55 5.5 18592.32 1026 0.00% -0.01 -0.18%
20210517 5.65 5.54 5.67 5.51 38182.96 2126 0.00% -0.11 -1.95%
20210514 5.7 5.65 5.71 5.62 47399.88 2682 0.00% -0.02 -0.35%
20210513 5.58 5.67 5.75 5.55 67430.00 3821 0.00% 0.10 1.80%
20210512 5.46 5.57 5.61 5.44 35546.00 1975 0.00% 0.08 1.46%
20210511 5.47 5.49 5.51 5.38 41618.46 2264 0.00% 0.10 1.86%
20210510 5.51 5.39 5.52 5.37 57159.74 3093 0.00% -0.14 -2.53%
