日期 开盘价 收盘价 最高价 最低价 成交量（手） 成交额（万元） 换手率 涨跌额 涨跌幅（%）
20211108 8.63 8.73 8.97 8.44 509061.51 44415 0.00% -0.01 -0.11%
20211105 9.33 8.74 9.44 8.68 812899.65 73031 0.00% -0.38 -4.17%
20211104 8.4 9.12 9.12 8.35 672628.89 59197 0.00% 0.83 10.01%
20211103 8.58 8.29 8.59 8.17 363915.47 30302 0.00% -0.26 -3.04%
20211102 8.92 8.55 8.93 8.41 481939.43 41718 0.00% -0.43 -4.79%
20211101 8.71 8.98 9.25 8.56 548243.50 48917 0.00% 0.10 1.13%
20211029 8.95 8.88 8.98 8.35 578756.50 50357 0.00% 0.14 1.60%
20211028 9.06 8.74 9.35 8.62 690331.94 61718 0.00% -0.26 -2.89%
20211027 9.5 9.0 9.67 8.89 935001.51 85724 0.00% -0.26 -2.81%
20211026 8.75 9.26 9.26 8.61 314449.00 28353 0.00% 0.84 9.98%
20211025 8.65 8.42 8.68 8.25 557745.50 47464 0.00% -0.09 -1.06%
20211022 9.04 8.51 9.1 8.45 591195.29 51411 0.00% -0.67 -7.30%
20211021 9.15 9.18 9.57 8.94 641665.96 59316 0.00% 0.10 1.10%
20211020 9.0 9.08 9.39 8.79 698430.35 63911 0.00% 0.16 1.79%
20211019 8.91 8.92 9.12 8.68 911407.15 81166 0.00% 0.15 1.71%
20211018 7.97 8.77 8.77 7.95 544591.05 46321 0.00% 0.80 10.04%
20211015 7.33 7.97 8.06 7.25 683084.54 52596 0.00% 0.57 7.70%
20211014 6.63 7.4 7.4 6.6 363832.44 26098 0.00% 0.67 9.96%
20211013 6.61 6.73 6.74 6.48 167204.84 11083 0.00% 0.12 1.82%
20211012 7.03 6.61 7.14 6.48 297010.66 20014 0.00% -0.50 -7.03%
20211011 7.58 7.11 7.59 7.02 242404.50 17327 0.00% -0.46 -6.08%
20211008 7.84 7.57 7.97 7.48 233883.72 17895 0.00% -0.15 -1.94%
20210930 7.55 7.72 7.76 7.42 256111.45 19553 0.00% 0.27 3.62%
20210929 7.31 7.45 7.85 7.29 336371.15 25416 0.00% -0.04 -0.53%
20210928 6.99 7.49 7.59 6.9 361792.43 26685 0.00% 0.45 6.39%
20210927 7.64 7.04 7.82 6.87 363482.72 26513 0.00% -0.49 -6.51%
20210924 8.0 7.53 8.0 7.52 306122.00 23563 0.00% -0.46 -5.76%
20210923 8.2 7.99 8.34 7.93 382445.75 30884 0.00% -0.17 -2.08%
20210922 7.5 8.16 8.29 7.4 495955.88 39443 0.00% 0.49 6.39%
20210917 7.71 7.67 7.92 7.44 346362.84 26634 0.00% -0.11 -1.41%
20210916 8.11 7.78 8.24 7.72 448719.79 35921 0.00% -0.37 -4.54%
20210915 8.05 8.15 8.29 7.95 432234.51 35274 0.00% 0.00 0.00%
20210914 7.85 8.15 8.39 7.61 648755.19 51777 0.00% 0.16 2.00%
20210913 8.1 7.99 8.3 7.64 828646.70 66477 0.00% 0.19 2.44%
20210910 7.34 7.8 7.83 7.2 686492.10 51366 0.00% 0.54 7.44%
20210909 7.12 7.26 7.38 7.09 386106.61 27915 0.00% 0.13 1.82%
20210908 7.1 7.13 7.24 7.05 312990.05 22335 0.00% 0.01 0.14%
20210907 7.07 7.12 7.19 6.98 352712.67 24982 0.00% 0.05 0.71%
20210906 7.29 7.07 7.31 6.9 351321.00 24718 0.00% -0.12 -1.67%
20210903 7.35 7.19 7.57 7.07 497580.17 36268 0.00% -0.17 -2.31%
20210902 6.9 7.36 7.44 6.9 579435.35 42174 0.00% 0.50 7.29%
20210901 7.39 6.86 7.45 6.77 563346.06 39895 0.00% -0.64 -8.53%
20210831 7.75 7.5 7.97 7.32 637886.09 48726 0.00% -0.05 -0.66%
20210830 7.14 7.55 7.55 7.11 617359.86 45525 0.00% 0.34 4.72%
20210827 7.4 7.21 7.64 7.14 556230.77 40619 0.00% -0.21 -2.83%
20210826 7.28 7.42 7.63 7.09 837198.07 61561 0.00% -0.03 -0.40%
