日期 开盘价 收盘价 最高价 最低价 成交量（手） 成交额（万元） 换手率 涨跌额 涨跌幅（%）
20211108 21.3 21.43 21.86 20.7 582209.43 124001 0.00% -0.07 -0.33%
20211105 23.28 21.5 23.3 21.3 837091.76 184296 0.00% -1.75 -7.53%
20211104 24.62 23.25 24.73 23.1 630360.45 148959 0.00% -0.99 -4.08%
20211103 24.92 24.24 25.25 23.75 513460.21 125247 0.00% -1.15 -4.53%
20211102 25.69 25.39 26.2 24.85 394341.70 100442 0.00% -0.39 -1.51%
20211101 27.5 25.78 27.7 25.41 613652.98 160937 0.00% -1.47 -5.39%
20211029 28.1 27.25 28.27 25.68 653187.47 174510 0.00% -0.28 -1.02%
20211028 29.68 27.53 29.68 26.99 616479.70 173147 0.00% -2.35 -7.86%
20211027 29.1 29.88 30.66 29.03 380860.58 113721 0.00% 0.62 2.12%
20211026 29.15 29.26 30.66 28.91 381491.22 113430 0.00% 0.22 0.76%
20211025 27.95 29.04 30.2 27.8 434725.30 127512 0.00% 0.90 3.20%
20211022 28.54 28.14 29.58 27.01 425432.04 120810 0.00% -0.45 -1.57%
20211021 29.04 28.59 29.3 27.9 361402.39 103273 0.00% -0.31 -1.07%
20211020 27.78 28.9 30.12 27.59 487679.40 142144 0.00% 0.77 2.74%
20211019 28.55 28.13 28.68 27.47 513205.98 143667 0.00% -0.28 -0.99%
20211018 25.83 28.41 28.41 25.6 470101.54 128565 0.00% 2.58 9.99%
20211015 25.4 25.83 26.7 24.95 511168.19 132213 0.00% -0.72 -2.71%
20211014 26.0 26.55 27.2 25.68 612808.65 162347 0.00% 0.95 3.71%
20211013 23.78 25.6 25.6 23.0 578744.70 141369 0.00% 2.33 10.01%
20211012 24.69 23.27 24.88 22.6 561318.37 131379 0.00% -1.35 -5.48%
20211011 26.27 24.62 26.35 23.94 715930.73 177052 0.00% -1.22 -4.72%
20211008 28.95 25.84 29.2 25.55 511156.56 135129 0.00% -2.28 -8.11%
20210930 26.31 28.12 28.39 26.31 409411.26 112764 0.00% 1.82 6.92%
20210929 28.5 26.3 28.5 26.3 584550.15 158077 0.00% -2.92 -9.99%
20210928 30.21 29.22 30.33 28.86 343370.76 101060 0.00% -0.78 -2.60%
20210927 31.35 30.0 31.59 28.4 680287.57 203573 0.00% -1.41 -4.49%
20210924 30.42 31.41 32.83 29.14 769789.38 237566 0.00% -0.16 -0.51%
20210923 35.9 31.57 36.19 31.57 422933.36 138434 0.00% -3.51 -10.01%
20210922 35.5 35.08 36.8 33.9 355713.68 125962 0.00% -0.42 -1.18%
20210917 35.95 35.5 37.77 33.67 494166.89 176324 0.00% -0.40 -1.11%
20210916 38.29 35.9 41.3 35.43 638684.51 244493 0.00% -2.39 -6.24%
