日期 开盘价 收盘价 最高价 最低价 成交量（手） 成交额（万元） 换手率 涨跌额 涨跌幅（%）
20211108 4.69 4.77 4.78 4.62 28867.48 1357 0.00% 0.08 1.71%
20211105 4.74 4.69 4.75 4.67 18866.60 887 0.00% -0.05 -1.05%
20211104 4.68 4.74 4.75 4.66 18372.40 865 0.00% 0.05 1.07%
20211103 4.64 4.69 4.72 4.59 18145.00 848 0.00% 0.04 0.86%
20211102 4.75 4.65 4.77 4.57 32829.00 1536 0.00% -0.09 -1.90%
20211101 4.81 4.74 4.83 4.66 20200.00 956 0.00% 0.02 0.42%
20211029 4.64 4.72 4.75 4.62 21170.60 993 0.00% 0.09 1.94%
20211028 4.71 4.63 4.73 4.61 25202.00 1169 0.00% -0.07 -1.49%
20211027 4.88 4.7 4.9 4.68 39143.32 1853 0.00% -0.15 -3.09%
20211026 4.92 4.85 4.94 4.85 20887.20 1022 0.00% -0.04 -0.82%
20211025 4.92 4.89 4.94 4.84 17229.00 842 0.00% 0.00 0.00%
20211022 5.02 4.89 5.03 4.88 30994.48 1531 0.00% -0.10 -2.00%
20211021 5.09 4.99 5.13 4.95 33038.20 1659 0.00% -0.11 -2.16%
20211020 5.29 5.1 5.29 5.06 35265.64 1813 0.00% -0.16 -3.04%
20211019 5.3 5.26 5.37 5.21 16099.68 854 0.00% -0.02 -0.38%
20211018 5.26 5.28 5.3 5.17 22289.88 1169 0.00% 0.03 0.57%
20211015 5.35 5.25 5.35 5.19 25021.00 1311 0.00% -0.05 -0.94%
20211014 5.33 5.3 5.36 5.27 11588.00 615 0.00% -0.03 -0.56%
20211013 5.37 5.33 5.39 5.25 18289.87 970 0.00% -0.06 -1.11%
20211012 5.5 5.39 5.6 5.33 19653.00 1068 0.00% -0.18 -3.23%
20211011 5.6 5.57 5.64 5.48 18593.00 1035 0.00% -0.03 -0.54%
20211008 5.48 5.6 5.6 5.44 24593.60 1361 0.00% 0.19 3.51%
20210930 5.24 5.41 5.44 5.23 18415.60 987 0.00% 0.21 4.04%
20210929 5.46 5.2 5.46 5.18 23372.00 1236 0.00% -0.20 -3.70%
20210928 5.42 5.4 5.46 5.29 24088.80 1296 0.00% -0.02 -0.37%
20210927 5.65 5.42 5.65 5.29 40829.20 2218 0.00% -0.26 -4.58%
