日期 开盘价 收盘价 最高价 最低价 成交量（手） 成交额（万元） 换手率 涨跌额 涨跌幅（%）
20211108 6.45 6.41 6.56 6.39 1337948.24 86521 0.00% 0.00 0.00%
20211105 6.61 6.41 6.63 6.38 1871388.88 121498 0.00% -0.30 -4.47%
20211104 6.84 6.71 6.84 6.66 1351198.84 90809 0.00% -0.14 -2.04%
20211103 6.77 6.85 6.89 6.67 1204258.99 82079 0.00% 0.09 1.33%
20211102 7.0 6.76 7.03 6.63 2328733.86 158623 0.00% -0.25 -3.57%
20211101 7.14 7.01 7.14 6.98 1576951.76 111015 0.00% -0.12 -1.68%
20211029 7.12 7.13 7.19 7.05 1359818.79 96693 0.00% 0.06 0.85%
20211028 7.25 7.07 7.25 6.95 1830379.79 129190 0.00% -0.15 -2.08%
20211027 7.42 7.22 7.46 7.18 1419100.70 103233 0.00% -0.19 -2.56%
20211026 7.47 7.41 7.55 7.35 1049779.65 78047 0.00% -0.05 -0.67%
20211025 7.44 7.46 7.5 7.23 1086106.63 80449 0.00% 0.02 0.27%
20211022 7.61 7.44 7.72 7.37 2086340.26 156704 0.00% -0.25 -3.25%
20211021 7.86 7.69 7.94 7.67 1830231.39 142854 0.00% -0.11 -1.41%
20211020 7.8 7.8 7.86 7.5 1608883.50 124368 0.00% -0.08 -1.02%
20211019 7.8 7.88 7.9 7.68 1572009.96 122576 0.00% 0.06 0.77%
20211018 7.75 7.82 7.88 7.67 1549220.63 120707 0.00% 0.05 0.64%
20211015 7.8 7.77 7.89 7.66 1665849.53 129371 0.00% -0.27 -3.36%
20211014 8.02 8.04 8.22 7.97 1449853.53 117757 0.00% -0.03 -0.37%
20211013 8.05 8.07 8.14 7.88 1235131.26 99143 0.00% 0.03 0.37%
20211012 8.42 8.04 8.5 7.91 2178814.74 177729 0.00% -0.35 -4.17%
20211011 8.65 8.39 8.65 8.21 1812534.81 151720 0.00% -0.23 -2.67%
20211008 8.85 8.62 8.85 8.49 1620949.03 140186 0.00% -0.08 -0.92%
20210930 8.69 8.7 8.78 8.56 1889063.40 164034 0.00% 0.09 1.05%
20210929 9.2 8.61 9.23 8.52 2819482.77 246821 0.00% -0.62 -6.72%
20210928 9.33 9.23 9.45 9.07 1687723.76 155932 0.00% -0.02 -0.22%
20210927 9.61 9.25 9.67 9.2 2054307.47 192706 0.00% -0.36 -3.75%
20210924 10.18 9.61 10.36 9.52 2723365.32 267263 0.00% -0.74 -7.15%
20210923 10.46 10.35 10.62 10.09 1447760.66 149824 0.00% -0.11 -1.05%
20210922 10.28 10.46 10.48 9.98 1947846.53 198620 0.00% 0.01 0.10%
20210917 10.92 10.45 11.15 10.11 2123029.14 224020 0.00% -0.56 -5.09%
20210916 11.22 11.01 11.52 10.94 1875970.46 209780 0.00% -0.02 -0.18%
20210915 10.97 11.03 11.36 10.83 1928614.88 213428 0.00% -0.01 -0.09%
20210914 11.72 11.04 11.72 10.96 2379407.15 268735 0.00% -0.80 -6.76%
20210913 11.15 11.84 12.07 11.15 2515520.30 292645 0.00% 0.60 5.34%
20210910 11.28 11.24 11.44 11.03 2184581.37 245811 0.00% -0.18 -1.58%
20210909 10.51 11.42 11.57 10.51 3575835.54 399127 0.00% 0.89 8.45%
20210908 10.69 10.53 10.8 10.43 1549010.53 163666 0.00% -0.31 -2.86%
20210907 10.17 10.84 10.93 10.11 1936277.64 206842 0.00% 0.60 5.86%
20210906 10.05 10.24 10.38 10.04 1455227.69 148223 0.00% 0.19 1.89%
20210903 10.32 10.05 10.35 9.89 1714518.77 172914 0.00% -0.35 -3.37%
20210902 10.21 10.4 10.54 9.98 2207279.61 226072 0.00% 0.15 1.46%
20210901 10.2 10.25 10.55 9.98 2601830.19 267346 0.00% 0.06 0.59%
20210831 9.67 10.19 10.31 9.66 2932966.95 294781 0.00% 0.55 5.71%
20210830 9.4 9.64 9.75 9.37 2897264.07 277518 0.00% 0.54 5.93%
20210827 8.82 9.1 9.2 8.82 2138580.73 193486 0.00% 0.17 1.90%
20210826 8.54 8.93 9.12 8.5 2960504.56 263812 0.00% 0.40 4.69%
20210825 8.42 8.53 8.55 8.3 1197310.98 101326 0.00% 0.13 1.55%
20210824 8.36 8.4 8.68 8.3 1436428.96 122119 0.00% 0.07 0.84%
20210823 8.43 8.33 8.51 8.26 880413.25 73535 0.00% -0.06 -0.72%
20210820 8.3 8.39 8.49 8.18 1172956.56 97610 0.00% -0.02 -0.24%
20210819 8.19 8.41 8.47 8.04 1172101.95 97304 0.00% 0.05 0.60%
20210818 8.29 8.36 8.51 8.23 953085.45 79736 0.00% 0.06 0.72%
20210817 8.43 8.3 8.52 8.19 1126888.65 94233 0.00% -0.17 -2.01%
20210816 8.27 8.47 8.57 8.19 1713193.04 144312 0.00% 0.22 2.67%
20210813 8.16 8.25 8.37 8.15 1176835.17 97180 0.00% -0.04 -0.48%
20210812 8.04 8.29 8.58 7.98 2645598.56 221509 0.00% 0.24 2.98%
20210811 8.02 8.05 8.11 7.86 1368850.73 109681 0.00% 0.12 1.51%
20210810 7.81 7.93 7.96 7.67 1232658.54 96926 0.00% 0.18 2.32%
20210809 7.42 7.75 7.78 7.4 1263358.06 96854 0.00% 0.29 3.89%
20210806 7.32 7.46 7.56 7.3 972463.43 72669 0.00% 0.11 1.50%
20210805 7.34 7.35 7.43 7.24 1067223.31 78293 0.00% -0.03 -0.41%
20210804 7.21 7.38 7.5 7.19 1433974.47 105434 0.00% 0.22 3.07%
20210803 7.19 7.16 7.29 7.11 1385005.29 99219 0.00% -0.14 -1.92%
20210802 7.6 7.3 7.63 7.15 2693237.76 195671 0.00% -0.62 -7.83%
20210730 7.23 7.92 7.95 7.19 2576716.18 195842 0.00% 0.69 9.54%
20210729 7.28 7.23 7.29 7.06 1504981.04 107892 0.00% 0.06 0.84%
20210728 7.3 7.17 7.35 7.03 1754437.03 125941 0.00% -0.20 -2.71%
20210727 7.8 7.37 7.9 7.36 1689627.94 128677 0.00% -0.39 -5.03%
20210726 8.13 7.76 8.18 7.68 1616818.22 126772 0.00% -0.33 -4.08%
20210723 8.18 8.09 8.39 8.08 1821519.75 149837 0.00% 0.03 0.37%
20210722 7.61 8.06 8.13 7.59 1907064.98 152217 0.00% 0.40 5.22%
20210721 7.69 7.66 7.73 7.54 946324.21 72444 0.00% 0.04 0.52%
20210720 7.73 7.62 7.74 7.5 1254016.56 95147 0.00% -0.24 -3.05%
20210719 8.07 7.86 8.18 7.81 1161608.14 92512 0.00% -0.12 -1.50%
20210716 8.06 7.98 8.22 7.93 1693458.52 136846 0.00% -0.07 -0.87%
20210715 7.57 8.05 8.12 7.51 1763499.36 138730 0.00% 0.54 7.19%
20210714 7.64 7.51 7.74 7.51 703546.90 53438 0.00% -0.13 -1.70%
20210713 7.65 7.64 7.7 7.56 889392.47 67820 0.00% -0.01 -0.13%
20210712 7.75 7.65 7.93 7.58 1367783.84 106095 0.00% -0.05 -0.65%
20210709 7.54 7.7 7.77 7.51 1082331.95 83237 0.00% 0.12 1.58%
20210708 7.65 7.58 7.68 7.5 753270.32 57227 0.00% -0.01 -0.13%
20210707 7.46 7.59 7.61 7.41 699589.99 52528 0.00% 0.14 1.88%
20210706 7.53 7.45 7.68 7.41 673490.40 50688 0.00% -0.05 -0.67%
20210705 7.61 7.5 7.66 7.33 959066.04 71414 0.00% -0.13 -1.70%
20210702 7.61 7.63 7.71 7.48 991486.85 75651 0.00% -0.10 -1.29%
20210701 7.67 7.73 7.78 7.56 793460.20 61018 0.00% 0.09 1.18%
20210630 7.63 7.64 7.71 7.57 519750.16 39650 0.00% 0.07 0.92%
20210629 7.63 7.57 7.66 7.54 577126.66 43756 0.00% -0.08 -1.05%
20210628 7.66 7.65 7.68 7.53 687261.47 52255 0.00% -0.02 -0.26%
20210625 7.67 7.67 7.75 7.55 966282.45 74055 0.00% 0.03 0.39%
20210624 7.49 7.64 7.69 7.41 1054698.98 79899 0.00% 0.15 2.00%
20210623 7.14 7.49 7.59 7.1 1634132.88 120296 0.00% 0.34 4.76%
20210622 7.1 7.15 7.2 7.01 1147705.06 81628 0.00% 0.02 0.28%
20210621 7.08 7.13 7.17 7.05 1282079.69 91263 0.00% 0.13 1.86%
20210618 7.04 7.0 7.16 6.93 1600026.17 112659 0.00% -0.35 -4.76%
20210617 7.69 7.35 7.7 7.28 2036133.46 151605 0.00% -0.34 -4.42%
20210616 7.76 7.69 7.95 7.65 882105.44 68552 0.00% -0.09 -1.16%
20210615 8.01 7.78 8.01 7.7 940468.57 73492 0.00% -0.24 -2.99%
20210611 8.0 8.02 8.07 7.9 1046393.42 83525 0.00% 0.08 1.01%
20210610 8.02 7.94 8.08 7.91 915498.30 73049 0.00% 0.00 0.00%
20210609 7.88 7.94 8.04 7.85 970183.02 77322 0.00% 0.06 0.76%
20210608 7.7 7.88 7.95 7.69 1102992.89 86445 0.00% 0.15 1.94%
20210607 7.88 7.73 7.89 7.69 725199.87 56277 0.00% -0.17 -2.15%
20210604 7.81 7.9 8.0 7.76 827337.03 65366 0.00% 0.06 0.77%
20210603 7.82 7.84 7.98 7.79 844331.57 66657 0.00% 0.06 0.77%
20210602 7.89 7.78 7.97 7.76 835393.68 65412 0.00% -0.17 -2.14%
20210601 7.78 7.95 7.97 7.59 1426702.31 110510 0.00% 0.07 0.89%
20210531 7.9 7.88 7.92 7.78 816331.76 64067 0.00% 0.02 0.25%
20210528 8.0 7.86 8.06 7.81 998417.89 79057 0.00% -0.01 -0.13%
20210527 7.78 7.87 7.93 7.72 1143136.26 89465 0.00% 0.11 1.42%
20210526 7.64 7.76 7.8 7.61 834681.73 64529 0.00% 0.02 0.26%
20210525 7.73 7.74 7.77 7.55 1420621.58 109004 0.00% 0.01 0.13%
20210524 7.77 7.73 7.83 7.57 1296792.74 99789 0.00% -0.15 -1.90%
20210521 7.73 7.88 7.95 7.67 1196524.87 93897 0.00% 0.12 1.55%
20210520 7.59 7.76 7.85 7.42 2698301.18 204810 0.00% -0.14 -1.77%
20210519 8.11 7.9 8.11 7.84 1770540.64 140523 0.00% -0.26 -3.19%
20210518 8.15 8.16 8.17 8.08 828870.46 67383 0.00% 0.07 0.87%
20210517 8.06 8.09 8.18 8.06 1386183.53 112320 0.00% -0.04 -0.49%
20210514 8.21 8.13 8.28 8.05 1479677.64 120453 0.00% -0.07 -0.85%
20210513 8.6 8.2 8.63 8.2 1957485.54 163768 0.00% -0.59 -6.71%
20210512 8.8 8.79 8.92 8.55 1276332.79 111774 0.00% 0.01 0.11%
20210511 8.9 8.78 8.95 8.55 2013559.89 176225 0.00% -0.41 -4.46%
20210510 9.19 9.19 9.34 8.83 2808779.32 254766 0.00% 0.16 1.77%
20210507 9.17 9.03 9.19 8.82 2316208.47 209582 0.00% 0.02 0.22%
20210506 8.85 9.01 9.15 8.85 1968633.01 177417 0.00% 0.38 4.40%
20210430 8.67 8.63 8.79 8.55 928286.02 80298 0.00% -0.06 -0.69%
20210429 8.88 8.69 8.91 8.51 1309043.63 113345 0.00% -0.11 -1.25%
20210428 8.51 8.8 8.88 8.45 1817794.53 159551 0.00% 0.26 3.04%
20210427 8.5 8.54 8.7 8.25 1860882.75 156927 0.00% -0.12 -1.39%
20210426 8.76 8.66 9.07 8.6 2100912.96 185437 0.00% 0.02 0.23%
20210423 8.27 8.64 8.74 8.22 2053302.75 175074 0.00% 0.35 4.22%
20210422 8.12 8.29 8.58 8.12 2046969.27 171072 0.00% 0.22 2.73%
20210421 8.36 8.07 8.36 8.02 1595817.51 129461 0.00% -0.35 -4.16%
20210420 8.14 8.42 8.47 8.11 1542970.08 128218 0.00% 0.19 2.31%
20210419 8.2 8.23 8.33 8.12 770993.33 63437 0.00% -0.04 -0.48%
20210416 8.21 8.27 8.45 8.19 1046735.68 87113 0.00% 0.03 0.36%
20210415 8.26 8.24 8.35 8.1 677112.97 55549 0.00% -0.02 -0.24%
20210414 8.19 8.26 8.38 8.12 939343.70 77686 0.00% 0.05 0.61%
20210413 8.27 8.21 8.3 8.08 1165118.34 95199 0.00% -0.19 -2.26%
20210412 8.66 8.4 8.76 8.28 2090249.22 177218 0.00% -0.26 -3.00%
20210409 8.67 8.66 8.8 8.43 1565763.81 135360 0.00% 0.05 0.58%
20210408 8.48 8.61 8.82 8.41 2043469.21 176663 0.00% 0.11 1.29%
20210407 8.19 8.5 8.69 8.08 1956532.36 164097 0.00% 0.27 3.28%
20210406 8.24 8.23 8.45 8.19 1013411.38 84095 0.00% 0.05 0.61%
20210402 8.34 8.18 8.38 8.03 1218632.08 99469 0.00% -0.25 -2.97%
20210401 8.08 8.43 8.57 8.0 1596413.65 132260 0.00% 0.35 4.33%
20210331 8.3 8.08 8.32 8.02 927707.31 75284 0.00% -0.11 -1.34%
20210330 8.15 8.19 8.24 8.01 1095784.56 89188 0.00% -0.02 -0.24%
20210329 8.21 8.21 8.35 8.05 1555152.27 127591 0.00% 0.07 0.86%
20210326 8.02 8.14 8.19 7.98 1032976.04 83693 0.00% 0.22 2.78%
20210325 7.91 7.92 8.11 7.75 1641132.16 129878 0.00% -0.11 -1.37%
20210324 8.45 8.03 8.45 7.92 2340909.80 189894 0.00% -0.51 -5.97%
20210323 8.88 8.54 9.1 8.48 1965850.81 170148 0.00% -0.42 -4.69%
20210322 9.15 8.96 9.45 8.94 1605602.45 146991 0.00% -0.06 -0.67%
20210319 8.72 9.02 9.07 8.69 1757440.26 156479 0.00% 0.10 1.12%
20210318 8.77 8.92 9.23 8.64 1923781.14 171777 0.00% 0.24 2.76%
20210317 8.76 8.68 8.83 8.38 2283728.51 196065 0.00% -0.27 -3.02%
