日期 开盘价 收盘价 最高价 最低价 成交量（手） 成交额（万元） 换手率 涨跌额 涨跌幅（%）
20211108 43.18 43.29 43.58 43.05 2353.98 1020 0.00% 0.03 0.07%
20211105 42.55 43.26 43.47 42.41 3492.14 1498 0.00% 0.79 1.86%
20211104 42.03 42.47 42.56 42.02 1749.00 741 0.00% 0.51 1.22%
20211103 41.88 41.96 41.97 41.43 1549.00 647 0.00% 0.55 1.33%
20211102 42.42 41.41 42.74 41.3 1974.00 830 0.00% -0.96 -2.27%
20211101 42.05 42.37 42.4 41.59 1704.00 718 0.00% 0.17 0.40%
20211029 41.51 42.2 43.0 41.32 2685.36 1133 0.00% 0.88 2.13%
20211028 42.6 41.32 42.9 41.2 3004.77 1250 0.00% -1.55 -3.62%
20211027 43.93 42.87 44.0 42.77 2941.00 1270 0.00% -1.06 -2.41%
20211026 44.01 43.93 44.32 43.3 3523.67 1543 0.00% -0.60 -1.35%
20211025 44.5 44.53 45.0 44.23 1892.00 840 0.00% -0.35 -0.78%
20211022 45.38 44.88 45.41 44.71 2013.36 908 0.00% -0.30 -0.66%
20211021 45.12 45.18 45.24 44.65 2177.67 979 0.00% 0.05 0.11%
20211020 45.85 45.13 45.85 44.8 2334.00 1055 0.00% -0.67 -1.46%
20211019 45.99 45.8 46.28 45.71 1332.98 612 0.00% -0.05 -0.11%
20211018 46.05 45.85 46.18 45.65 1010.00 463 0.00% -0.07 -0.15%
20211015 46.99 45.92 46.99 45.9 2000.00 923 0.00% -0.64 -1.37%
20211014 46.82 46.56 47.22 46.46 2433.00 1136 0.00% -0.37 -0.79%
20211013 45.5 46.93 47.28 45.37 4153.38 1933 0.00% 1.48 3.26%
20211012 45.98 45.45 45.98 45.01 1966.38 893 0.00% -0.43 -0.94%
20211011 45.48 45.88 45.99 45.23 1857.00 850 0.00% 0.22 0.48%
20211008 44.72 45.66 45.89 44.72 2561.55 1165 0.00% 0.94 2.10%
20210930 44.65 44.72 44.99 44.3 2347.19 1049 0.00% 0.47 1.06%
20210929 46.01 44.25 46.01 44.01 4188.00 1885 0.00% -1.78 -3.87%
20210928 46.16 46.03 46.48 45.8 2530.00 1165 0.00% -0.02 -0.04%
20210927 47.92 46.05 48.28 46.0 4303.00 2017 0.00% -1.95 -4.06%
20210924 48.68 48.0 48.97 47.87 3868.19 1870 0.00% -0.68 -1.40%
20210923 48.48 48.68 49.02 48.48 2974.00 1450 0.00% 0.20 0.41%
20210922 48.8 48.48 48.8 48.36 3520.00 1709 0.00% -0.52 -1.06%
20210917 49.62 49.0 49.79 48.63 4319.77 2116 0.00% -0.56 -1.13%
20210916 49.99 49.56 50.16 49.45 4376.38 2179 0.00% -0.47 -0.94%
20210915 49.6 50.03 50.17 49.45 3243.00 1617 0.00% 0.43 0.87%
20210914 49.98 49.6 50.06 49.5 3228.36 1607 0.00% -0.13 -0.26%
20210913 50.26 49.73 50.4 49.6 4873.36 2430 0.00% -0.53 -1.05%
20210910 50.81 50.26 50.81 50.17 3085.00 1552 0.00% -0.14 -0.28%
20210909 51.1 50.4 51.15 50.31 5203.00 2630 0.00% -0.45 -0.88%
20210908 51.49 50.85 51.49 50.51 5425.00 2760 0.00% 0.00 0.00%
20210907 50.94 50.85 51.32 50.72 4385.00 2234 0.00% -0.17 -0.33%
20210906 50.4 51.02 51.13 50.15 4913.00 2490 0.00% 0.43 0.85%
20210903 51.3 50.59 51.43 50.44 7429.38 3768 0.00% -0.76 -1.48%
20210902 50.89 51.35 51.87 50.7 6909.00 3540 0.00% 0.33 0.65%
20210901 49.68 51.02 51.33 49.21 7198.67 3623 0.00% 1.55 3.13%
20210831 49.15 49.47 49.99 49.15 5114.24 2531 0.00% 0.17 0.34%
20210830 50.6 49.3 50.99 49.16 7618.09 3810 0.00% -1.24 -2.45%
20210827 51.15 50.54 51.2 50.44 5376.85 2724 0.00% -0.50 -0.98%
20210826 52.31 51.04 52.49 51.0 8323.00 4284 0.00% -1.18 -2.26%
20210825 52.46 52.22 52.46 51.74 6065.75 3161 0.00% -0.18 -0.34%
20210824 52.01 52.4 52.52 52.0 6969.90 3640 0.00% -0.02 -0.04%
20210823 51.14 52.42 52.52 51.14 6481.79 3381 0.00% 0.95 1.85%
20210820 54.11 51.47 54.22 51.21 14536.41 7609 0.00% -2.94 -5.40%
20210819 57.5 54.41 57.55 54.38 20579.39 11447 0.00% -4.47 -7.59%
20210818 53.5 58.88 60.29 53.0 30324.26 17235 0.00% 5.07 9.42%
20210817 53.0 53.81 54.98 52.55 17996.90 9727 0.00% 0.64 1.20%
20210816 51.81 53.17 53.74 51.81 12976.68 6890 0.00% 1.54 2.98%
20210813 51.7 51.63 52.25 51.27 8607.69 4458 0.00% -0.13 -0.25%
20210812 52.73 51.76 52.74 51.55 12009.40 6232 0.00% -1.39 -2.62%
20210811 50.95 53.15 53.7 50.77 20492.19 10771 0.00% 1.96 3.83%
20210810 51.0 51.19 51.5 50.63 10716.48 5479 0.00% -0.01 -0.02%
20210809 50.47 51.2 51.68 50.03 10731.49 5464 0.00% 0.73 1.45%
20210806 52.47 50.47 52.67 49.92 17220.45 8750 0.00% -1.88 -3.59%
20210805 54.1 52.35 54.37 52.33 16579.12 8814 0.00% -1.94 -3.57%
20210804 54.5 54.29 55.66 53.8 17190.02 9369 0.00% -0.95 -1.72%
20210803 55.14 55.24 57.61 54.65 19803.43 11047 0.00% -0.76 -1.36%
20210802 54.06 56.0 57.52 53.53 22544.09 12606 0.00% 0.28 0.50%
20210730 60.0 55.72 60.0 55.13 34125.61 19340 0.00% -5.72 -9.31%
20210729 64.9 61.44 64.91 60.31 41647.06 25863 0.00% -10.88 -15.04%
20210728 75.0 72.32 100.0 70.01 52447.60 42239 0.00% -2.68 -3.57%
