日期 开盘价 收盘价 最高价 最低价 成交量（手） 成交额（万元） 换手率 涨跌额 涨跌幅（%）
20211108 4.2 4.21 4.26 4.14 306325.06 12802 0.00% -0.05 -1.17%
20211105 4.18 4.26 4.3 4.14 472072.51 20010 0.00% 0.04 0.95%
20211104 4.03 4.22 4.41 4.01 629760.36 26605 0.00% 0.21 5.24%
20211103 4.03 4.01 4.09 3.97 199434.57 7997 0.00% -0.05 -1.23%
20211102 4.01 4.06 4.14 3.97 363431.62 14744 0.00% 0.05 1.25%
20211101 3.86 4.01 4.1 3.86 376377.08 15015 0.00% 0.15 3.89%
20211029 3.74 3.86 3.88 3.7 218915.76 8325 0.00% 0.14 3.76%
20211028 3.9 3.72 3.91 3.67 278063.21 10415 0.00% -0.17 -4.37%
20211027 3.85 3.89 3.92 3.76 204693.76 7893 0.00% 0.04 1.04%
20211026 3.88 3.85 3.9 3.83 108972.04 4201 0.00% -0.03 -0.77%
20211025 3.81 3.88 3.89 3.76 108620.62 4179 0.00% 0.07 1.84%
20211022 3.87 3.81 3.89 3.78 114385.75 4379 0.00% -0.05 -1.30%
20211021 3.88 3.86 3.93 3.85 119900.22 4667 0.00% -0.02 -0.52%
20211020 3.82 3.88 3.93 3.81 125921.00 4880 0.00% 0.04 1.04%
20211019 3.83 3.84 3.92 3.82 146703.93 5660 0.00% 0.02 0.52%
20211018 3.71 3.82 3.85 3.7 207534.30 7887 0.00% 0.11 2.96%
20211015 3.76 3.71 3.76 3.66 168840.31 6268 0.00% -0.05 -1.33%
20211014 3.75 3.76 3.78 3.71 131019.72 4913 0.00% 0.02 0.53%
20211013 3.86 3.74 3.89 3.7 234522.96 8823 0.00% -0.14 -3.61%
20211012 4.06 3.88 4.06 3.83 233342.16 9145 0.00% -0.19 -4.67%
20211011 4.05 4.07 4.17 4.04 193113.26 7880 0.00% 0.04 0.99%
20211008 4.06 4.03 4.24 4.0 242703.17 9897 0.00% 0.02 0.50%
20210930 3.97 4.01 4.06 3.94 174325.01 6987 0.00% 0.04 1.01%
20210929 4.16 3.97 4.21 3.96 248603.47 10052 0.00% -0.23 -5.48%
20210928 4.06 4.2 4.26 4.02 246419.06 10245 0.00% 0.14 3.45%
20210927 4.31 4.06 4.42 4.03 308903.86 12880 0.00% -0.26 -6.02%
20210924 4.49 4.32 4.54 4.31 246614.40 10889 0.00% -0.16 -3.57%
20210923 4.5 4.48 4.57 4.43 285462.24 12823 0.00% -0.02 -0.44%
20210922 4.21 4.5 4.56 4.21 409649.34 18124 0.00% 0.22 5.14%
20210917 4.21 4.28 4.29 4.01 220459.19 9227 0.00% 0.07 1.66%
20210916 4.33 4.21 4.38 4.21 187524.08 8038 0.00% -0.14 -3.22%
20210915 4.22 4.35 4.39 4.19 199902.28 8630 0.00% 0.10 2.35%
20210914 4.42 4.25 4.46 4.23 261086.13 11260 0.00% -0.08 -1.85%
20210913 4.29 4.33 4.35 4.24 193085.14 8322 0.00% 0.03 0.70%
20210910 4.4 4.3 4.41 4.27 264275.34 11443 0.00% -0.06 -1.38%
20210909 4.44 4.36 4.47 4.35 302273.73 13267 0.00% -0.09 -2.02%
20210908 4.23 4.45 4.56 4.21 602578.37 26793 0.00% 0.22 5.20%
20210907 4.1 4.23 4.25 4.05 341615.59 14225 0.00% 0.12 2.92%
20210906 4.09 4.11 4.15 4.07 179871.01 7370 0.00% 0.01 0.24%
20210903 4.2 4.1 4.27 4.08 306676.68 12749 0.00% -0.13 -3.07%
20210902 4.13 4.23 4.3 4.1 378328.32 15909 0.00% 0.08 1.93%
20210901 4.1 4.15 4.32 4.08 407246.04 17011 0.00% 0.07 1.72%
20210831 4.09 4.08 4.15 4.06 156551.20 6414 0.00% -0.02 -0.49%
20210830 4.07 4.1 4.15 4.05 188653.27 7738 0.00% 0.02 0.49%
20210827 4.09 4.08 4.14 4.03 201988.78 8224 0.00% -0.03 -0.73%
20210826 4.1 4.11 4.16 4.08 232352.81 9588 0.00% -0.04 -0.96%
20210825 4.16 4.15 4.25 4.07 296279.00 12268 0.00% 0.01 0.24%
20210824 4.16 4.14 4.19 4.11 256117.51 10603 0.00% -0.04 -0.96%
20210823 4.06 4.18 4.2 4.03 392647.94 16299 0.00% 0.14 3.47%
20210820 3.93 4.04 4.09 3.86 344517.48 13810 0.00% 0.13 3.32%
20210819 3.93 3.91 4.0 3.88 155932.53 6107 0.00% -0.03 -0.76%
20210818 4.0 3.94 4.0 3.83 213327.14 8387 0.00% 0.05 1.29%
20210817 3.94 3.89 3.97 3.84 212171.14 8268 0.00% -0.05 -1.27%
20210816 3.97 3.94 4.01 3.91 154576.58 6134 0.00% -0.03 -0.76%
20210813 3.89 3.97 4.09 3.87 287082.24 11469 0.00% 0.06 1.53%
20210812 3.99 3.91 4.03 3.9 277978.94 10991 0.00% 0.01 0.26%
20210811 3.9 3.9 3.93 3.88 169206.37 6600 0.00% 0.01 0.26%
20210810 3.89 3.89 3.91 3.85 193199.44 7511 0.00% 0.03 0.78%
20210809 3.85 3.86 3.9 3.83 140682.00 5433 0.00% 0.02 0.52%
20210806 3.83 3.84 3.87 3.8 185004.22 7091 0.00% 0.00 0.00%
20210805 3.75 3.84 3.9 3.73 333712.36 12805 0.00% 0.09 2.40%
20210804 3.74 3.75 3.78 3.7 144301.81 5401 0.00% 0.02 0.54%
20210803 3.65 3.73 3.77 3.64 203101.17 7564 0.00% 0.08 2.19%
20210802 3.56 3.65 3.66 3.53 118911.84 4288 0.00% 0.10 2.82%
20210730 3.54 3.55 3.6 3.51 93794.98 3335 0.00% -0.01 -0.28%
20210729 3.54 3.56 3.58 3.53 106144.12 3770 0.00% 0.04 1.14%
20210728 3.75 3.52 3.76 3.5 274563.81 9802 0.00% -0.25 -6.63%
20210727 3.83 3.77 3.85 3.76 206518.58 7865 0.00% -0.05 -1.31%
20210726 3.78 3.82 3.85 3.75 246764.57 9382 0.00% 0.03 0.79%
20210723 3.75 3.79 3.83 3.74 245334.93 9280 0.00% 0.04 1.07%
20210722 3.74 3.75 3.78 3.7 116715.92 4373 0.00% 0.01 0.27%
20210721 3.77 3.74 3.79 3.72 126834.80 4752 0.00% -0.02 -0.53%
20210720 3.73 3.76 3.77 3.7 117090.12 4381 0.00% 0.01 0.27%
20210719 3.71 3.75 3.75 3.69 143091.96 5336 0.00% 0.04 1.08%
20210716 3.67 3.71 3.75 3.67 145305.00 5392 0.00% 0.02 0.54%
20210715 3.69 3.69 3.7 3.65 78719.89 2893 0.00% 0.00 0.00%
20210714 3.68 3.69 3.74 3.67 100362.55 3714 0.00% 0.01 0.27%
20210713 3.7 3.68 3.7 3.65 98617.61 3616 0.00% -0.01 -0.27%
20210712 3.75 3.69 3.75 3.68 112664.85 4186 0.00% -0.03 -0.81%
20210709 3.67 3.72 3.73 3.64 131099.63 4837 0.00% 0.04 1.09%
20210708 3.67 3.68 3.7 3.64 101806.70 3742 0.00% 0.01 0.27%
20210707 3.69 3.67 3.7 3.66 102713.59 3773 0.00% -0.04 -1.08%
20210706 3.77 3.71 3.77 3.68 129519.68 4805 0.00% -0.04 -1.07%
20210705 3.66 3.75 3.75 3.64 184151.79 6835 0.00% 0.07 1.90%
20210702 3.68 3.68 3.75 3.64 217472.11 8033 0.00% 0.06 1.66%
20210701 3.66 3.62 3.71 3.61 128535.64 4703 0.00% -0.05 -1.36%
20210630 3.6 3.67 3.7 3.58 162212.18 5916 0.00% 0.08 2.23%
20210629 3.6 3.59 3.64 3.59 82090.00 2970 0.00% -0.01 -0.28%
20210628 3.61 3.6 3.62 3.59 53570.82 1931 0.00% -0.01 -0.28%
20210625 3.58 3.61 3.62 3.58 73175.28 2632 0.00% 0.03 0.84%
20210624 3.58 3.58 3.6 3.56 74520.00 2670 0.00% 0.00 0.00%
20210623 3.6 3.58 3.61 3.57 55418.92 1986 0.00% -0.03 -0.83%
20210622 3.59 3.61 3.64 3.57 96680.92 3490 0.00% 0.03 0.84%
20210621 3.52 3.58 3.6 3.5 102526.54 3648 0.00% 0.06 1.70%
20210618 3.54 3.52 3.56 3.5 72263.55 2544 0.00% -0.03 -0.85%
20210617 3.55 3.55 3.58 3.54 53716.76 1908 0.00% -0.02 -0.56%
20210616 3.54 3.57 3.58 3.54 49631.00 1767 0.00% 0.02 0.56%
20210615 3.6 3.55 3.6 3.54 62926.00 2243 0.00% -0.04 -1.11%
20210611 3.59 3.59 3.6 3.57 65657.16 2355 0.00% -0.03 -0.83%
20210610 3.64 3.62 3.64 3.59 64065.76 2318 0.00% -0.02 -0.55%
20210609 3.63 3.64 3.65 3.62 66823.73 2427 0.00% 0.01 0.28%
20210608 3.6 3.63 3.63 3.58 78496.00 2827 0.00% 0.03 0.83%
20210607 3.59 3.6 3.61 3.57 68579.29 2463 0.00% 0.02 0.56%
20210604 3.57 3.58 3.59 3.57 59406.00 2126 0.00% 0.00 0.00%
20210603 3.6 3.58 3.62 3.57 93724.35 3362 0.00% -0.03 -0.83%
20210602 3.61 3.61 3.63 3.57 104974.26 3780 0.00% 0.01 0.28%
20210601 3.6 3.6 3.61 3.58 71368.20 2565 0.00% 0.00 0.00%
20210531 3.62 3.6 3.64 3.57 98972.08 3554 0.00% -0.02 -0.55%
20210528 3.66 3.62 3.67 3.61 83268.98 3030 0.00% -0.03 -0.82%
20210527 3.66 3.65 3.67 3.64 69128.54 2525 0.00% -0.01 -0.27%
20210526 3.68 3.66 3.68 3.65 76872.72 2818 0.00% -0.01 -0.27%
20210525 3.65 3.67 3.67 3.63 69478.68 2539 0.00% 0.02 0.55%
20210524 3.62 3.65 3.67 3.61 57124.00 2087 0.00% 0.00 0.00%
20210521 3.65 3.65 3.69 3.64 52269.00 1913 0.00% 0.00 0.00%
20210520 3.71 3.65 3.71 3.65 84278.00 3094 0.00% -0.06 -1.62%
