日期 开盘价 收盘价 最高价 最低价 成交量（手） 成交额（万元） 换手率 涨跌额 涨跌幅（%）
20211108 112.45 113.6 114.93 111.5 49376.11 55858 0.00% 0.65 0.58%
20211105 112.11 112.95 114.36 111.11 43754.99 49425 0.00% 0.82 0.73%
20211104 113.45 112.13 114.66 111.8 39065.12 44059 0.00% -1.02 -0.90%
20211103 113.2 113.15 114.71 112.0 36814.97 41596 0.00% -0.05 -0.04%
20211102 115.51 113.2 116.32 111.66 48585.93 55231 0.00% -2.80 -2.41%
20211101 111.65 116.0 117.4 111.16 68873.46 79326 0.00% 3.19 2.83%
20211029 110.02 112.81 114.08 109.0 60568.52 67639 0.00% 1.40 1.26%
20211028 111.0 111.41 114.81 110.5 65142.42 73506 0.00% -0.01 -0.01%
20211027 118.33 111.42 118.33 110.0 102038.57 114915 0.00% -7.03 -5.93%
20211026 119.51 118.45 120.45 118.2 61235.97 72926 0.00% -1.55 -1.29%
20211025 118.0 120.0 121.0 115.5 65386.28 77444 0.00% 2.78 2.37%
20211022 116.9 117.22 118.8 115.28 46998.20 54962 0.00% 0.62 0.53%
20211021 116.93 116.6 119.7 116.01 54624.89 64094 0.00% -0.52 -0.44%
20211020 118.77 117.12 118.95 116.39 42696.96 50220 0.00% -0.64 -0.54%
20211019 116.39 117.76 120.2 116.1 57602.71 68129 0.00% 1.34 1.15%
20211018 115.9 116.42 117.55 114.5 49422.38 57255 0.00% 0.22 0.19%
20211015 115.1 116.2 117.74 115.1 46242.61 53829 0.00% -0.71 -0.61%
20211014 116.86 116.91 117.8 115.0 34275.05 39871 0.00% -0.24 -0.20%
20211013 118.07 117.15 118.5 114.4 57945.71 67409 0.00% -0.33 -0.28%
20211012 119.83 117.48 120.56 116.15 66814.96 78603 0.00% -2.48 -2.07%
20211011 122.8 119.96 123.49 119.38 48841.92 59218 0.00% -2.14 -1.75%
20211008 121.5 122.1 123.2 119.6 64677.58 78636 0.00% 2.21 1.84%
20210930 120.56 119.89 121.49 118.25 74183.84 88887 0.00% 0.55 0.46%
20210929 128.64 119.34 129.98 118.22 130140.72 157755 0.00% -11.19 -8.57%
20210928 127.5 130.53 132.6 126.57 68308.92 88979 0.00% 3.71 2.93%
20210927 130.6 126.82 134.52 125.91 98403.72 128049 0.00% -4.01 -3.07%
20210924 132.05 130.83 133.97 130.2 46727.57 61663 0.00% -1.72 -1.30%
20210923 132.14 132.55 135.8 131.38 60807.18 81173 0.00% 1.43 1.09%
20210922 130.6 131.12 134.99 129.82 51732.04 68225 0.00% -2.65 -1.98%
20210917 130.26 133.77 134.69 128.0 77848.17 102801 0.00% 4.24 3.27%
20210916 133.0 129.53 134.0 128.58 71180.02 93288 0.00% -3.27 -2.46%
20210915 134.97 132.8 137.36 132.0 89987.61 120834 0.00% -3.43 -2.52%
20210914 141.4 136.23 142.0 134.64 109570.42 150698 0.00% -4.17 -2.97%
20210913 138.82 140.4 146.46 138.8 109455.32 156009 0.00% 1.36 0.98%
20210910 139.0 139.04 146.5 136.63 130841.52 185397 0.00% 1.52 1.11%
20210909 136.5 137.52 140.69 134.78 119654.45 164242 0.00% 0.21 0.15%
20210908 132.6 137.31 145.52 131.58 180999.77 252172 0.00% 2.39 1.77%
20210907 126.05 134.92 135.13 124.28 172134.68 224943 0.00% 8.88 7.05%
20210906 118.0 126.04 129.38 118.0 154807.42 193989 0.00% 6.89 5.78%
20210903 129.99 119.15 130.0 118.86 147114.78 182247 0.00% -3.20 -2.62%
20210902 120.2 122.35 124.0 119.01 140304.99 171463 0.00% 1.23 1.02%
20210901 114.77 121.12 126.85 113.77 202598.03 245274 0.00% 5.41 4.68%
20210831 109.21 115.71 118.25 109.21 119522.02 136935 0.00% 4.71 4.24%
20210830 115.0 111.0 115.2 109.01 90152.52 100636 0.00% -3.20 -2.80%
20210827 112.15 114.2 116.27 111.41 91656.85 104603 0.00% 2.05 1.83%
20210826 112.66 112.15 115.91 109.76 92652.88 104556 0.00% -0.51 -0.45%
20210825 112.46 112.66 114.18 110.7 77078.52 86607 0.00% -1.80 -1.57%
20210824 111.99 114.46 117.27 110.0 148910.51 169263 0.00% 3.40 3.06%
20210823 111.37 111.06 114.66 109.38 142884.83 159651 0.00% 2.02 1.85%
20210820 116.15 109.04 118.22 107.0 171396.28 191584 0.00% -7.11 -6.12%
20210819 118.61 116.15 121.28 115.36 188087.06 221921 0.00% -4.82 -3.98%
20210818 102.65 120.97 122.49 102.18 300376.14 342819 0.00% 17.65 17.08%
20210817 100.1 103.32 107.28 99.98 124836.85 130450 0.00% 2.06 2.03%
20210816 98.5 101.26 105.28 98.3 92423.10 94578 0.00% 3.55 3.63%
20210813 96.33 97.71 99.11 96.23 40056.21 39181 0.00% 0.83 0.86%
20210812 97.97 96.88 99.25 96.8 38977.90 38035 0.00% -1.61 -1.63%
20210811 99.0 98.49 100.39 98.2 44893.93 44473 0.00% -0.80 -0.81%
20210810 96.78 99.29 99.72 96.26 60012.04 58897 0.00% 1.83 1.88%
20210809 94.75 97.46 99.07 94.5 69840.71 68436 0.00% 2.73 2.88%
20210806 94.97 94.73 96.33 94.12 32398.56 30784 0.00% -0.15 -0.16%
20210805 96.15 94.88 97.5 94.07 42803.74 40963 0.00% -2.40 -2.47%
20210804 97.32 97.28 97.68 95.11 49646.77 47928 0.00% -0.13 -0.13%
20210803 96.0 97.41 99.9 95.7 61310.96 59888 0.00% 0.09 0.09%
20210802 92.84 97.32 99.2 91.25 79266.45 76001 0.00% 4.65 5.02%
20210730 94.0 92.67 94.59 92.17 48037.31 44603 0.00% -2.32 -2.44%
20210729 94.45 94.99 96.16 93.5 52777.89 50001 0.00% 1.93 2.07%
20210728 93.63 93.06 95.85 92.02 66835.29 62716 0.00% -2.24 -2.35%
20210727 100.0 95.3 100.48 95.3 73990.79 72375 0.00% -4.30 -4.32%
20210726 102.0 99.6 104.0 99.22 68811.15 69509 0.00% -3.73 -3.61%
20210723 103.8 103.33 108.2 100.67 86385.21 89818 0.00% 0.11 0.11%
20210722 100.3 103.22 104.21 99.37 79890.78 81992 0.00% 3.09 3.09%
20210721 98.85 100.13 101.51 98.85 61543.92 61732 0.00% 1.55 1.57%
20210720 98.69 98.58 100.0 98.25 40158.74 39737 0.00% -1.08 -1.08%
20210719 100.26 99.66 100.32 98.0 45258.45 44801 0.00% -0.57 -0.57%
20210716 101.5 100.23 102.29 99.38 50205.48 50458 0.00% -0.85 -0.84%
20210715 102.0 101.08 102.0 98.0 88456.65 88621 0.00% -2.97 -2.85%
20210714 103.78 104.05 106.02 103.28 56617.20 59057 0.00% -0.69 -0.66%
20210713 105.77 104.74 106.4 103.4 65309.42 68232 0.00% -1.58 -1.49%
20210712 106.5 106.32 108.68 105.91 87840.72 94136 0.00% 2.18 2.09%
20210709 103.46 104.14 104.46 102.87 45206.27 46851 0.00% -0.19 -0.18%
20210708 105.61 104.33 106.82 103.88 56832.42 59848 0.00% -0.85 -0.81%
20210707 104.7 105.18 105.91 104.5 44952.32 47278 0.00% -0.17 -0.16%
20210706 106.55 105.35 107.19 103.44 58913.86 61792 0.00% -1.20 -1.13%
20210705 108.66 106.55 109.7 105.97 53973.69 57862 0.00% -2.22 -2.04%
20210702 108.5 108.77 110.61 107.5 48606.44 53121 0.00% -0.24 -0.22%
20210701 114.1 109.01 115.2 109.0 76335.30 85226 0.00% -3.77 -3.34%
20210630 111.35 112.78 113.6 111.3 44940.42 50515 0.00% 1.43 1.28%
20210629 112.64 111.35 113.68 111.1 46890.36 52491 0.00% -1.60 -1.42%
20210628 114.87 112.95 114.89 112.47 71441.56 80875 0.00% -2.41 -2.09%
20210625 112.0 115.36 117.89 111.0 134977.73 155353 0.00% 3.43 3.06%
20210624 110.58 111.93 112.76 110.11 48995.38 54697 0.00% 0.99 0.89%
20210623 110.75 110.94 112.55 109.0 57941.77 64229 0.00% -1.06 -0.95%
20210622 110.3 112.0 115.3 109.2 69836.58 78283 0.00% 1.45 1.31%
20210621 111.15 110.55 112.8 109.78 50568.17 56133 0.00% 1.15 1.05%
20210618 108.06 109.4 111.54 107.2 49803.59 54678 0.00% 1.35 1.25%
20210617 106.89 108.05 108.89 106.85 41309.64 44539 0.00% 1.16 1.09%
20210616 107.0 106.89 108.99 106.1 40719.92 43768 0.00% -0.18 -0.17%
20210615 108.07 107.07 109.2 106.65 46521.90 50039 0.00% -2.16 -1.98%
20210611 113.96 109.23 115.33 109.0 84832.78 94407 0.00% -3.79 -3.35%
20210610 111.0 113.02 114.09 110.99 68964.37 77832 0.00% 1.57 1.41%
20210609 112.84 111.45 112.85 110.09 48448.44 53784 0.00% -0.90 -0.80%
20210608 112.72 112.35 114.7 111.56 55346.11 62431 0.00% -1.06 -0.93%
20210607 113.94 113.41 115.94 112.05 55932.23 63518 0.00% -0.59 -0.52%
20210604 114.0 114.0 118.02 113.5 77806.39 89446 0.00% -0.72 -0.63%
20210603 115.98 114.72 118.2 114.58 63146.88 73474 0.00% -0.50 -0.43%
20210602 117.97 115.22 119.3 114.68 66957.24 77978 0.00% -3.36 -2.83%
20210601 118.0 118.58 118.76 115.45 55951.70 65693 0.00% -0.82 -0.69%
20210531 118.01 119.4 119.6 116.55 49515.83 58575 0.00% 0.16 0.13%
20210528 118.01 119.24 121.8 118.01 62596.20 74786 0.00% -0.16 -0.13%
20210527 120.02 119.4 121.2 117.55 64890.43 77236 0.00% -0.60 -0.50%
20210526 123.06 120.0 124.33 119.68 105900.44 129193 0.00% -0.56 -0.46%
20210525 113.99 120.56 123.5 113.75 127406.66 153194 0.00% 6.49 5.69%
20210524 113.5 114.07 115.46 112.52 62271.48 71319 0.00% 2.22 1.98%
20210521 113.18 111.85 113.94 110.9 46200.26 51754 0.00% -1.31 -1.16%
20210520 111.45 113.16 114.87 111.45 60680.08 68628 0.00% 0.95 0.85%
20210519 111.26 112.21 114.83 111.0 50354.81 56834 0.00% 0.39 0.35%
20210518 109.92 111.82 115.0 109.37 61648.02 69450 0.00% 1.44 1.30%
20210517 113.2 110.38 114.75 110.0 107032.71 119773 0.00% -4.92 -4.27%
20210514 103.79 115.3 115.98 103.67 150116.43 165772 0.00% 12.37 12.02%
20210513 101.75 102.93 103.8 101.41 30405.78 31246 0.00% -0.04 -0.04%
20210512 103.16 102.97 103.44 101.6 42281.07 43292 0.00% -1.03 -0.99%
20210511 103.02 104.0 104.94 101.71 41663.03 43021 0.00% 0.10 0.10%
20210510 104.25 103.9 105.5 102.7 43573.68 45257 0.00% -0.60 -0.57%
20210507 105.2 104.5 107.0 104.5 46841.42 49286 0.00% -0.70 -0.67%
20210506 107.02 105.2 108.59 104.4 67889.58 71974 0.00% -3.40 -3.13%
20210430 110.4 108.6 110.41 108.02 53582.80 58364 0.00% -2.14 -1.93%
20210429 110.0 110.74 112.0 109.28 52535.40 58219 0.00% 0.14 0.13%
20210428 109.99 110.6 112.5 107.99 71023.55 78255 0.00% -0.58 -0.52%
20210427 119.88 111.18 119.88 108.1 190806.35 213908 0.00% -12.42 -10.05%
20210426 125.0 123.6 127.3 123.3 62007.94 77785 0.00% -1.13 -0.91%
20210423 122.11 124.73 126.0 122.1 56211.52 70054 0.00% 1.85 1.51%
