日期 开盘价 收盘价 最高价 最低价 成交量（手） 成交额（万元） 换手率 涨跌额 涨跌幅（%）
20211108 7.65 7.54 7.69 7.48 87650.42 6628 0.00% -0.11 -1.44%
20211105 7.81 7.65 7.83 7.63 57734.11 4463 0.00% -0.14 -1.80%
20211104 7.94 7.79 7.94 7.69 95719.29 7464 0.00% -0.09 -1.14%
20211103 7.95 7.88 8.05 7.82 105774.54 8359 0.00% 0.00 0.00%
20211102 7.8 7.88 8.08 7.8 121230.30 9596 0.00% -0.03 -0.38%
20211101 7.38 7.91 7.92 7.36 202011.98 15761 0.00% 0.47 6.32%
20211029 7.43 7.44 7.56 7.33 61115.47 4538 0.00% -0.08 -1.06%
20211028 7.59 7.52 7.6 7.39 63371.00 4734 0.00% -0.08 -1.05%
20211027 7.56 7.6 7.68 7.45 59099.29 4475 0.00% 0.04 0.53%
20211026 7.5 7.56 7.73 7.43 84881.44 6433 0.00% 0.04 0.53%
20211025 7.02 7.52 7.55 6.83 119934.38 8786 0.00% 0.40 5.62%
20211022 7.06 7.12 7.19 7.01 47964.60 3417 0.00% 0.09 1.28%
20211021 7.08 7.03 7.17 7.0 38093.60 2696 0.00% -0.03 -0.42%
20211020 6.96 7.06 7.13 6.87 42876.00 3011 0.00% 0.11 1.58%
20211019 6.9 6.95 7.0 6.9 44240.73 3073 0.00% 0.01 0.14%
20211018 6.85 6.94 6.99 6.81 51622.41 3572 0.00% 0.09 1.31%
20211015 6.89 6.85 6.93 6.76 92561.68 6336 0.00% -0.02 -0.29%
20211014 6.99 6.87 7.06 6.69 70851.86 4897 0.00% -0.15 -2.14%
20211013 7.34 7.02 7.34 6.99 76562.05 5429 0.00% -0.31 -4.23%
20211012 7.55 7.33 7.61 7.31 94381.67 7027 0.00% -0.28 -3.68%
20211011 7.34 7.61 7.7 7.24 146999.93 11102 0.00% 0.31 4.25%
20211008 7.46 7.3 7.69 7.27 124479.53 9223 0.00% -0.16 -2.14%
20210930 7.45 7.46 7.61 7.25 148431.37 11064 0.00% 0.02 0.27%
20210929 7.38 7.44 7.86 7.38 246293.78 18774 0.00% -0.38 -4.86%
