日期 开盘价 收盘价 最高价 最低价 成交量（手） 成交额（万元） 换手率 涨跌额 涨跌幅（%）
20211108 127.76 122.9 129.34 121.5 405853.24 504430 0.00% -3.50 -2.77%
20211105 126.95 126.4 128.59 125.63 251008.47 318740 0.00% -0.09 -0.07%
20211104 132.5 126.49 133.83 125.0 479866.17 612717 0.00% -5.94 -4.49%
20211103 132.45 132.43 134.75 130.45 207590.63 275607 0.00% 0.66 0.50%
20211102 131.0 131.77 134.46 130.18 292516.11 386050 0.00% 1.59 1.22%
20211101 141.38 130.18 141.58 129.93 432236.39 575514 0.00% -7.83 -5.67%
20211029 134.05 138.01 138.35 132.61 186344.89 254146 0.00% 3.76 2.80%
20211028 134.0 134.25 136.86 132.72 206787.14 277354 0.00% -1.32 -0.97%
20211027 138.8 135.57 139.79 134.58 185452.82 253174 0.00% -3.23 -2.33%
20211026 139.29 138.8 141.56 137.71 147255.82 205076 0.00% -0.50 -0.36%
20211025 139.0 139.3 140.9 138.66 155831.83 217351 0.00% -0.48 -0.34%
20211022 141.25 139.78 142.45 136.05 205380.12 285313 0.00% -1.42 -1.01%
20211021 140.05 141.2 142.59 139.5 134358.77 189455 0.00% 0.71 0.51%
20211020 145.05 140.49 146.76 139.4 249562.46 352460 0.00% -4.51 -3.11%
20211019 143.88 145.0 147.88 143.44 157270.95 228287 0.00% 1.30 0.90%
20211018 144.57 143.7 146.35 141.82 160076.96 230052 0.00% -1.63 -1.12%
20211015 142.88 145.33 146.68 141.51 156447.13 226292 0.00% 1.46 1.01%
20211014 149.46 143.87 149.86 141.88 209263.66 303184 0.00% -5.13 -3.44%
20211013 144.0 149.0 149.72 142.2 157066.95 230055 0.00% 5.97 4.17%
20211012 142.0 143.03 145.9 140.81 188478.15 271026 0.00% 1.17 0.82%
20211011 148.0 141.86 150.88 141.66 296777.43 429466 0.00% -7.76 -5.19%
20211008 154.0 149.62 156.8 148.98 219211.02 333907 0.00% -3.18 -2.08%
20210930 149.51 152.8 154.5 148.75 171373.76 261014 0.00% 2.70 1.80%
20210929 149.0 150.1 152.08 148.18 149996.46 225128 0.00% -0.88 -0.58%
20210928 150.1 150.98 153.5 148.1 166704.69 252868 0.00% -0.62 -0.41%
20210927 150.6 151.6 154.68 149.1 234230.96 356093 0.00% 0.72 0.48%
20210924 149.5 150.88 153.19 148.7 178916.50 270920 0.00% 0.58 0.39%
20210923 153.39 150.3 155.03 149.0 241240.80 365268 0.00% -3.09 -2.01%
20210922 150.6 153.39 158.88 150.0 220896.37 339972 0.00% 0.99 0.65%
20210917 143.2 152.4 153.28 140.8 364023.69 543213 0.00% 8.24 5.72%
20210916 140.18 144.16 145.88 138.5 272396.56 388743 0.00% 2.43 1.71%
20210915 141.2 141.73 148.2 140.5 289930.75 417590 0.00% -0.23 -0.16%
20210914 136.33 141.96 143.88 136.33 272153.16 385725 0.00% 5.64 4.14%
20210913 139.49 136.32 142.78 135.1 208795.39 287145 0.00% -4.48 -3.18%
20210910 140.51 140.8 141.3 137.5 179348.08 250195 0.00% 0.02 0.01%
20210909 140.23 140.78 142.87 139.0 127156.68 179047 0.00% 0.87 0.62%
20210908 142.0 139.91 142.7 137.7 191021.92 266994 0.00% -1.29 -0.91%
20210907 140.8 141.2 141.67 138.03 213793.45 299085 0.00% 0.56 0.40%
20210906 134.02 140.64 143.46 134.0 370943.86 520519 0.00% 6.94 5.19%
20210903 128.49 133.7 135.1 126.8 306728.31 405855 0.00% 5.18 4.03%
20210902 132.77 128.52 135.68 127.02 295171.46 388165 0.00% -4.26 -3.21%
20210901 130.8 132.78 135.0 125.83 289715.18 378618 0.00% -0.02 -0.02%
20210831 132.0 132.8 135.88 130.62 256684.71 341771 0.00% 2.35 1.80%
20210830 132.0 130.45 134.55 129.39 259693.77 341734 0.00% 0.51 0.39%
20210827 124.88 129.94 133.1 124.6 308663.69 402627 0.00% 4.12 3.27%
20210826 131.01 125.82 131.98 125.0 278877.46 354798 0.00% -6.56 -4.96%
20210825 130.63 132.38 133.89 129.4 320934.37 423824 0.00% 1.51 1.15%
20210824 126.0 130.87 132.6 125.5 541310.84 707933 0.00% 6.88 5.55%
20210823 124.6 123.99 126.08 121.5 351013.86 435227 0.00% 0.99 0.80%
20210820 128.01 123.0 128.1 121.1 462918.44 572557 0.00% -7.75 -5.93%
20210819 128.63 130.75 131.58 127.65 246795.75 320733 0.00% 2.13 1.66%
20210818 129.9 128.62 132.69 127.33 265802.01 343119 0.00% -1.33 -1.02%
20210817 137.0 129.95 138.77 126.66 399630.65 527735 0.00% -6.53 -4.78%
20210816 137.88 136.48 138.73 135.52 215389.38 294255 0.00% -2.26 -1.63%
20210813 140.0 138.74 142.0 136.73 308646.51 431234 0.00% -0.46 -0.33%
20210812 142.0 139.2 143.5 134.7 439677.21 607988 0.00% -4.30 -3.00%
20210811 145.99 143.5 145.99 142.68 140818.15 202544 0.00% -2.16 -1.48%
20210810 142.78 145.66 145.87 140.0 247134.48 354606 0.00% 2.88 2.02%
20210809 142.0 142.78 146.5 140.1 329381.00 468324 0.00% -4.42 -3.00%
20210806 158.49 147.2 159.98 145.49 501503.55 751546 0.00% -13.75 -8.54%
20210805 159.0 160.95 163.88 156.01 239127.65 383623 0.00% 2.07 1.30%
20210804 158.21 158.88 162.2 155.74 257775.84 409158 0.00% 0.00 0.00%
20210803 154.7 158.88 160.25 149.0 263650.56 412303 0.00% 6.08 3.98%
20210802 148.0 152.8 153.38 142.8 285531.45 422839 0.00% 2.80 1.87%
20210730 154.51 150.0 154.85 148.61 212618.80 320922 0.00% -5.98 -3.83%
20210729 155.15 155.98 157.92 153.01 254717.96 396319 0.00% 3.18 2.08%
20210728 143.03 152.8 153.0 143.02 338854.87 508011 0.00% 8.20 5.67%
20210727 143.9 144.6 152.0 143.13 334801.15 492515 0.00% -4.14 -2.78%
20210726 152.0 148.74 154.29 143.13 341789.35 507114 0.00% -5.26 -3.42%
20210723 160.0 154.0 162.25 153.23 303926.25 473280 0.00% -7.94 -4.90%
20210722 167.88 161.94 167.89 160.5 184028.82 299416 0.00% -4.86 -2.91%
20210721 166.55 166.8 167.77 164.2 148041.49 245947 0.00% 1.35 0.82%
