日期 开盘价 收盘价 最高价 最低价 成交量（手） 成交额（万元） 换手率 涨跌额 涨跌幅（%）
20211108 2.84 2.86 2.88 2.81 93160.18 2644 0.00% 0.00 0.00%
20211105 2.9 2.86 2.91 2.84 140719.07 4027 0.00% -0.04 -1.38%
20211104 2.93 2.9 2.94 2.9 122750.76 3574 0.00% -0.04 -1.36%
20211103 2.91 2.94 2.95 2.89 140048.75 4081 0.00% 0.01 0.34%
20211102 2.99 2.93 3.01 2.9 187953.95 5535 0.00% -0.02 -0.68%
20211101 2.96 2.95 2.98 2.92 139130.89 4103 0.00% -0.03 -1.01%
20211029 2.95 2.98 2.99 2.89 150842.50 4439 0.00% 0.03 1.02%
20211028 3.01 2.95 3.02 2.95 151760.21 4516 0.00% -0.07 -2.32%
20211027 3.03 3.02 3.08 3.01 153236.00 4651 0.00% -0.03 -0.98%
20211026 3.15 3.05 3.17 3.04 336463.93 10398 0.00% -0.14 -4.39%
20211025 3.29 3.19 3.29 3.14 248973.99 7938 0.00% -0.11 -3.33%
20211022 3.26 3.3 3.39 3.25 311489.64 10364 0.00% 0.06 1.85%
20211021 3.21 3.24 3.25 3.21 112763.99 3645 0.00% 0.02 0.62%
20211020 3.25 3.22 3.26 3.2 131290.50 4225 0.00% -0.02 -0.62%
20211019 3.27 3.24 3.27 3.22 182142.39 5905 0.00% -0.03 -0.92%
20211018 3.34 3.27 3.36 3.24 168782.58 5504 0.00% -0.02 -0.61%
20211015 3.36 3.29 3.38 3.25 180284.03 5976 0.00% -0.06 -1.79%
20211014 3.41 3.35 3.42 3.34 124031.55 4175 0.00% -0.05 -1.47%
20211013 3.44 3.4 3.44 3.34 172762.20 5845 0.00% -0.04 -1.16%
20211012 3.41 3.44 3.49 3.41 254657.88 8780 0.00% 0.04 1.18%
20211011 3.38 3.4 3.48 3.38 163749.81 5612 0.00% 0.01 0.29%
20211008 3.34 3.39 3.4 3.33 130200.90 4386 0.00% 0.06 1.80%
20210930 3.3 3.33 3.35 3.29 156663.54 5211 0.00% 0.05 1.52%
20210929 3.3 3.28 3.36 3.27 184153.87 6092 0.00% -0.03 -0.91%
20210928 3.27 3.31 3.32 3.26 170925.72 5635 0.00% 0.07 2.16%
20210927 3.33 3.24 3.33 3.22 233232.72 7621 0.00% -0.10 -2.99%
20210924 3.41 3.34 3.43 3.33 151325.00 5090 0.00% -0.07 -2.05%
20210923 3.34 3.41 3.44 3.33 186449.86 6344 0.00% 0.07 2.10%
20210922 3.27 3.34 3.34 3.25 124146.24 4097 0.00% 0.01 0.30%
20210917 3.36 3.33 3.37 3.28 185588.40 6171 0.00% -0.03 -0.89%
20210916 3.45 3.36 3.48 3.35 233463.00 7959 0.00% -0.07 -2.04%
20210915 3.41 3.43 3.45 3.39 177381.29 6079 0.00% 0.00 0.00%
20210914 3.57 3.43 3.57 3.42 297181.00 10336 0.00% -0.14 -3.92%
20210913 3.54 3.57 3.57 3.52 229216.04 8136 0.00% 0.02 0.56%
20210910 3.63 3.55 3.68 3.53 331174.20 11915 0.00% -0.09 -2.47%
20210909 3.58 3.64 3.65 3.55 316192.42 11370 0.00% 0.04 1.11%
20210908 3.49 3.6 3.61 3.48 358593.58 12780 0.00% 0.11 3.15%
20210907 3.46 3.49 3.54 3.46 252104.96 8781 0.00% 0.03 0.87%
20210906 3.47 3.46 3.48 3.44 258928.90 8962 0.00% -0.02 -0.57%
20210903 3.42 3.48 3.5 3.39 326045.70 11297 0.00% 0.07 2.05%
20210902 3.4 3.41 3.43 3.38 265304.29 9028 0.00% 0.01 0.29%
20210901 3.36 3.4 3.44 3.35 376573.88 12806 0.00% 0.00 0.00%
20210831 3.3 3.4 3.43 3.27 380018.35 12834 0.00% 0.12 3.66%
20210830 3.35 3.28 3.4 3.28 327638.54 10898 0.00% -0.06 -1.80%
20210827 3.39 3.34 3.41 3.34 246840.63 8307 0.00% -0.04 -1.18%
20210826 3.42 3.38 3.43 3.33 234707.64 7904 0.00% -0.02 -0.59%
20210825 3.39 3.4 3.42 3.31 308952.51 10402 0.00% 0.10 3.03%
20210824 3.3 3.3 3.35 3.28 214403.80 7088 0.00% 0.00 0.00%
20210823 3.29 3.3 3.34 3.28 204211.00 6756 0.00% 0.00 0.00%
20210820 3.33 3.3 3.34 3.23 346558.23 11351 0.00% -0.08 -2.37%
20210819 3.42 3.38 3.45 3.37 233311.63 7943 0.00% -0.03 -0.88%
20210818 3.44 3.41 3.44 3.38 183085.90 6240 0.00% -0.03 -0.87%
20210817 3.47 3.44 3.51 3.42 267899.26 9293 0.00% -0.05 -1.43%
20210816 3.45 3.49 3.52 3.42 237997.00 8266 0.00% 0.06 1.75%
20210813 3.44 3.43 3.48 3.41 180700.74 6217 0.00% -0.01 -0.29%
20210812 3.47 3.44 3.49 3.42 236551.55 8157 0.00% -0.04 -1.15%
20210811 3.49 3.48 3.58 3.47 417022.28 14652 0.00% 0.03 0.87%
20210810 3.46 3.45 3.51 3.42 259842.49 8987 0.00% 0.03 0.88%
20210809 3.38 3.42 3.46 3.37 219334.22 7505 0.00% 0.04 1.18%
20210806 3.43 3.38 3.45 3.33 231881.82 7830 0.00% -0.08 -2.31%
