日期 开盘价 收盘价 最高价 最低价 成交量（手） 成交额（万元） 换手率 涨跌额 涨跌幅（%）
20211108 45.6 45.7 45.96 45.59 5964.88 2726 0.00% 0.04 0.09%
20211105 45.85 45.66 46.09 45.6 9523.81 4365 0.00% -0.34 -0.74%
20211104 45.88 46.0 46.28 45.71 9171.46 4217 0.00% 0.10 0.22%
20211103 46.1 45.9 46.1 45.65 7320.18 3357 0.00% -0.04 -0.09%
20211102 46.22 45.94 46.27 45.5 17976.28 8245 0.00% -0.16 -0.35%
20211101 47.78 46.1 48.0 46.06 24080.89 11166 0.00% -1.91 -3.98%
20211029 48.25 48.01 48.46 47.85 6875.50 3308 0.00% -0.19 -0.39%
20211028 47.81 48.2 48.59 47.66 6365.34 3064 0.00% 0.01 0.02%
20211027 49.0 48.19 49.03 47.59 9718.17 4677 0.00% -0.84 -1.71%
20211026 48.43 49.03 49.88 48.43 10075.60 4955 0.00% 0.60 1.24%
20211025 48.6 48.43 48.85 48.1 7993.09 3859 0.00% -0.63 -1.28%
20211022 48.8 49.06 49.39 48.25 9460.52 4614 0.00% -0.13 -0.26%
20211021 48.4 49.19 49.38 48.23 10962.75 5367 0.00% 0.91 1.88%
20211020 48.52 48.28 48.76 48.2 11227.13 5433 0.00% -0.52 -1.07%
20211019 48.58 48.8 49.13 48.17 8653.43 4214 0.00% 0.22 0.45%
20211018 49.11 48.58 49.6 48.1 10610.95 5177 0.00% -0.62 -1.26%
20211015 49.57 49.2 49.7 48.45 13750.96 6746 0.00% -0.55 -1.11%
20211014 49.63 49.75 50.68 49.63 19882.80 9964 0.00% 0.14 0.28%
20211013 50.1 49.61 50.45 49.21 17240.79 8591 0.00% 0.01 0.02%
20211012 48.89 49.6 50.62 48.7 32105.48 15933 0.00% 0.70 1.43%
20211011 47.75 48.9 49.34 47.39 24924.58 12090 0.00% 1.58 3.34%
20211008 46.97 47.32 47.42 46.61 10848.95 5110 0.00% 0.88 1.89%
20210930 46.29 46.44 46.67 45.8 8459.53 3929 0.00% 0.37 0.80%
20210929 46.18 46.07 46.47 45.6 8481.43 3902 0.00% -0.20 -0.43%
20210928 46.33 46.27 46.38 46.0 3596.61 1659 0.00% 0.02 0.04%
20210927 46.49 46.25 46.69 46.07 6414.75 2971 0.00% -0.20 -0.43%
20210924 46.78 46.45 46.97 46.18 6575.48 3058 0.00% -0.33 -0.71%
20210923 46.8 46.78 47.58 46.6 9882.84 4655 0.00% -0.02 -0.04%
20210922 45.65 46.8 46.85 45.38 9621.48 4459 0.00% 0.93 2.03%
20210917 45.98 45.87 45.98 45.36 9526.39 4343 0.00% -0.13 -0.28%
20210916 46.3 46.0 46.59 45.95 8935.63 4130 0.00% 0.07 0.15%
20210915 46.51 45.93 46.9 45.93 13024.46 6023 0.00% -0.47 -1.01%
20210914 47.9 46.4 47.9 46.4 17516.25 8233 0.00% -1.55 -3.23%
20210913 47.9 47.95 47.97 47.0 12121.06 5761 0.00% 0.03 0.06%
20210910 48.07 47.92 49.36 47.8 19985.57 9704 0.00% -0.15 -0.31%
20210909 47.65 48.07 48.46 47.31 10493.33 5033 0.00% 0.41 0.86%
20210908 47.69 47.66 47.88 47.47 10776.93 5139 0.00% -0.03 -0.06%
20210907 47.92 47.69 48.0 47.31 11882.71 5655 0.00% -0.23 -0.48%
20210906 47.68 47.92 47.98 47.16 13376.99 6384 0.00% 0.48 1.01%
20210903 47.17 47.44 47.7 46.85 9764.48 4617 0.00% 0.27 0.57%
20210902 47.44 47.17 47.68 46.81 10149.48 4785 0.00% -0.26 -0.55%
20210901 46.27 47.43 47.8 45.95 15690.80 7381 0.00% 0.95 2.04%
20210831 46.15 46.48 46.64 45.78 12792.26 5881 0.00% -0.01 -0.02%
20210830 46.75 46.49 47.26 45.61 16214.06 7469 0.00% -0.31 -0.66%
20210827 46.18 46.8 47.02 45.59 6327.11 2943 0.00% 0.64 1.39%
20210826 46.95 46.16 46.95 46.0 7064.79 3278 0.00% -0.79 -1.68%
20210825 47.05 46.95 47.2 46.55 7915.06 3704 0.00% -0.36 -0.76%
20210824 45.9 47.31 47.41 45.72 18616.60 8709 0.00% 1.36 2.96%
20210823 44.75 45.95 46.12 44.5 13100.42 5955 0.00% 1.51 3.40%
20210820 45.51 44.44 45.51 44.18 12501.32 5558 0.00% -0.96 -2.11%
20210819 45.15 45.4 45.66 45.15 6576.44 2986 0.00% 0.05 0.11%
20210818 45.67 45.35 45.82 45.11 10235.01 4635 0.00% -0.32 -0.70%
20210817 46.18 45.67 46.45 45.63 13645.11 6282 0.00% -0.52 -1.13%
20210816 46.23 46.19 46.8 46.14 10181.73 4719 0.00% -0.04 -0.09%
20210813 46.35 46.23 46.37 46.01 8249.59 3810 0.00% -0.13 -0.28%
20210812 46.59 46.36 46.97 46.19 11554.39 5363 0.00% -0.74 -1.57%
20210811 46.13 47.1 47.35 46.12 13275.62 6215 0.00% 0.30 0.64%
20210810 46.25 46.8 46.99 46.12 11372.49 5288 0.00% 0.21 0.45%
20210809 45.39 46.59 46.65 45.18 12024.55 5568 0.00% 0.61 1.33%
20210806 46.53 45.98 46.53 45.78 9877.50 4543 0.00% -0.55 -1.18%
20210805 46.54 46.53 46.97 46.16 16285.88 7580 0.00% 0.00 0.00%
20210804 47.52 46.53 48.5 46.0 27139.37 12675 0.00% -1.06 -2.23%
20210803 47.27 47.59 47.61 46.88 6357.59 3012 0.00% 0.19 0.40%
20210802 47.41 47.4 47.69 45.95 15452.11 7260 0.00% -0.25 -0.52%
20210730 47.0 47.65 47.65 45.72 15255.63 7103 0.00% -0.35 -0.73%
20210729 46.65 48.0 48.14 46.65 15104.65 7182 0.00% 1.43 3.07%
20210728 46.45 46.57 46.94 45.46 13437.99 6218 0.00% 0.04 0.09%
20210727 47.48 46.53 47.89 46.53 11276.77 5314 0.00% -1.23 -2.58%
20210726 49.0 47.76 49.0 47.44 10694.41 5122 0.00% -0.77 -1.59%
20210723 49.5 48.53 49.65 48.0 14609.31 7101 0.00% -1.01 -2.04%
20210722 49.48 49.54 50.15 49.2 10109.19 5025 0.00% 0.09 0.18%
20210721 50.37 49.45 50.67 49.3 18752.69 9341 0.00% -0.94 -1.87%
20210720 49.78 50.39 50.46 49.78 7299.33 3665 0.00% 0.15 0.30%
20210719 50.98 50.24 50.99 50.0 10202.01 5122 0.00% -0.76 -1.49%
20210716 52.21 51.0 52.21 50.87 15696.69 8061 0.00% -1.22 -2.34%
20210715 51.8 52.22 52.8 51.19 19802.71 10286 0.00% 0.60 1.16%
20210714 51.45 51.62 51.96 50.56 9885.85 5065 0.00% 0.17 0.33%
20210713 50.72 51.45 51.5 50.65 8254.55 4218 0.00% 0.46 0.90%
20210712 51.36 50.99 51.75 50.75 9468.69 4845 0.00% -0.33 -0.64%
20210709 51.15 51.32 51.75 50.7 12180.39 6243 0.00% 0.19 0.37%
20210708 52.5 51.13 52.53 51.02 14795.40 7625 0.00% -1.19 -2.27%
20210707 52.1 52.32 52.88 51.81 9506.23 4972 0.00% -0.19 -0.36%
20210706 53.59 52.51 53.98 51.98 12666.68 6690 0.00% -1.57 -2.90%
20210705 53.36 54.08 54.38 52.92 21771.55 11720 0.00% 1.72 3.28%
20210702 53.32 52.36 53.76 52.1 14715.90 7758 0.00% -0.99 -1.86%
20210701 53.15 53.35 54.11 52.66 9331.10 5000 0.00% 0.38 0.72%
20210630 52.86 52.97 53.43 52.63 8314.12 4409 0.00% -0.18 -0.34%
20210629 53.0 53.15 53.76 52.64 11356.38 6042 0.00% -0.14 -0.26%
20210628 53.33 53.29 53.93 52.85 10026.92 5347 0.00% -0.02 -0.04%
20210625 51.96 53.31 53.98 51.22 24880.41 13203 0.00% 1.35 2.60%
