日期 开盘价 收盘价 最高价 最低价 成交量（手） 成交额（万元） 换手率 涨跌额 涨跌幅（%）
20211108 6.05 6.14 6.16 6.03 646705.41 39457 0.00% 0.12 1.99%
20211105 6.02 6.02 6.12 5.99 504479.51 30512 0.00% -0.03 -0.50%
20211104 5.96 6.05 6.07 5.92 484810.32 29089 0.00% 0.09 1.51%
20211103 5.94 5.96 5.99 5.89 351382.70 20858 0.00% 0.02 0.34%
20211102 6.07 5.94 6.11 5.88 688767.29 41217 0.00% -0.14 -2.30%
20211101 6.13 6.08 6.16 6.03 629016.27 38191 0.00% -0.03 -0.49%
20211029 6.06 6.11 6.13 5.99 575953.82 34906 0.00% 0.05 0.83%
20211028 6.0 6.06 6.11 5.85 811470.54 48372 0.00% 0.06 1.00%
20211027 6.13 6.0 6.13 5.97 653278.12 39320 0.00% -0.13 -2.12%
20211026 6.14 6.13 6.18 6.1 443118.69 27121 0.00% -0.01 -0.16%
20211025 6.2 6.14 6.2 6.09 699278.14 42797 0.00% -0.09 -1.44%
20211022 6.14 6.23 6.32 6.14 812618.33 50594 0.00% 0.07 1.14%
20211021 6.19 6.16 6.21 6.1 673818.85 41480 0.00% -0.06 -0.96%
20211020 6.27 6.22 6.3 6.17 622063.51 38604 0.00% -0.04 -0.64%
20211019 6.23 6.26 6.33 6.21 686658.51 43092 0.00% 0.02 0.32%
20211018 6.19 6.24 6.26 6.16 563892.08 35052 0.00% 0.05 0.81%
20211015 6.36 6.19 6.38 6.16 909803.74 56648 0.00% -0.13 -2.06%
20211014 6.35 6.32 6.39 6.28 602375.59 38067 0.00% -0.05 -0.78%
20211013 6.34 6.37 6.38 6.25 615387.72 38924 0.00% 0.03 0.47%
20211012 6.48 6.34 6.49 6.26 995578.68 63273 0.00% -0.14 -2.16%
20211011 6.74 6.48 6.75 6.47 1402730.97 92142 0.00% -0.31 -4.57%
20211008 6.92 6.79 6.95 6.74 1701703.08 116106 0.00% -0.20 -2.86%
20210930 6.71 6.99 7.01 6.71 2685637.10 186381 0.00% 0.62 9.73%
20210929 6.52 6.37 6.56 6.36 937377.39 60277 0.00% -0.22 -3.34%
20210928 6.54 6.59 6.64 6.48 697082.94 45806 0.00% 0.07 1.07%
20210927 6.65 6.52 6.75 6.51 1142934.88 75392 0.00% -0.19 -2.83%
20210924 7.07 6.71 7.08 6.68 1642538.63 112706 0.00% -0.40 -5.63%
20210923 6.78 7.11 7.24 6.78 2251899.81 158488 0.00% 0.34 5.02%
20210922 6.71 6.77 6.82 6.65 918718.27 61775 0.00% -0.05 -0.73%
20210917 6.8 6.82 6.85 6.68 1013308.17 68580 0.00% -0.02 -0.29%
20210916 6.93 6.84 7.13 6.8 1377620.44 95314 0.00% -0.07 -1.01%
20210915 6.92 6.91 6.98 6.83 1124851.05 77664 0.00% -0.03 -0.43%
20210914 7.11 6.94 7.2 6.88 1611336.89 113103 0.00% -0.15 -2.12%
20210913 7.09 7.09 7.14 6.92 1482157.31 104659 0.00% 0.01 0.14%
20210910 7.18 7.08 7.42 7.06 2392321.62 172258 0.00% -0.14 -1.94%
20210909 7.24 7.22 7.33 7.14 1983560.91 143099 0.00% 0.04 0.56%
20210908 7.24 7.18 7.28 7.15 1342822.90 96597 0.00% -0.11 -1.51%
20210907 7.19 7.29 7.34 7.14 1977329.82 143155 0.00% 0.03 0.41%
20210906 7.25 7.26 7.4 7.12 2574876.68 186904 0.00% 0.04 0.55%
20210903 7.31 7.22 7.54 7.18 2987155.48 218241 0.00% -0.17 -2.30%
20210902 7.27 7.39 7.48 7.17 5403875.12 396950 0.00% 0.22 3.07%
20210901 6.58 7.17 7.17 6.54 4796399.03 336562 0.00% 0.65 9.97%
20210831 6.2 6.52 6.72 6.17 4318350.17 286065 0.00% 0.41 6.71%
