日期 开盘价 收盘价 最高价 最低价 成交量（手） 成交额（万元） 换手率 涨跌额 涨跌幅（%）
20211108 9.06 9.34 9.35 8.8 26360.00 2432 0.00% 0.29 3.20%
20211105 9.21 9.05 9.21 9.03 14842.11 1353 0.00% -0.13 -1.42%
20211104 9.23 9.18 9.23 9.11 16233.56 1487 0.00% 0.02 0.22%
20211103 9.22 9.16 9.23 9.05 13970.13 1274 0.00% -0.06 -0.65%
20211102 9.26 9.22 9.43 9.09 17881.57 1644 0.00% -0.04 -0.43%
20211101 9.13 9.26 9.34 9.13 16801.56 1559 0.00% 0.05 0.54%
20211029 8.85 9.21 9.33 8.81 28654.98 2615 0.00% 0.33 3.72%
20211028 8.87 8.88 9.03 8.7 19577.11 1728 0.00% -0.14 -1.55%
20211027 9.27 9.02 9.27 8.8 38975.00 3482 0.00% -0.18 -1.96%
20211026 8.94 9.2 9.29 8.94 36476.00 3345 0.00% 0.15 1.66%
20211025 9.21 9.05 9.21 8.9 29441.00 2653 0.00% 0.02 0.22%
20211022 9.45 9.03 9.51 9.01 41014.85 3785 0.00% -0.18 -1.95%
20211021 9.35 9.21 9.38 9.17 30932.00 2853 0.00% -0.17 -1.81%
20211020 9.67 9.38 9.67 9.38 20385.96 1931 0.00% -0.18 -1.88%
20211019 9.66 9.56 9.66 9.41 13767.00 1317 0.00% 0.00 0.00%
20211018 9.63 9.56 9.65 9.4 17682.67 1683 0.00% -0.05 -0.52%
20211015 9.62 9.61 9.69 9.47 19435.00 1867 0.00% -0.01 -0.10%
20211014 9.47 9.62 9.72 9.47 21228.69 2047 0.00% 0.07 0.73%
20211013 9.58 9.55 9.6 9.43 15893.00 1512 0.00% -0.03 -0.31%
20211012 9.77 9.58 9.77 9.43 25337.00 2430 0.00% -0.07 -0.73%
20211011 9.66 9.65 9.74 9.52 20312.17 1957 0.00% 0.03 0.31%
20211008 9.51 9.62 9.64 9.49 22220.35 2126 0.00% 0.11 1.16%
20210930 9.22 9.51 9.55 9.12 23171.01 2176 0.00% 0.30 3.26%
20210929 9.31 9.21 9.37 9.1 21581.00 1989 0.00% -0.10 -1.07%
20210928 9.3 9.31 9.38 9.18 22484.00 2089 0.00% -0.01 -0.11%
20210927 9.84 9.32 9.97 9.16 43179.00 4083 0.00% -0.61 -6.14%
20210924 10.35 9.93 10.45 9.88 44672.21 4499 0.00% -0.41 -3.97%
20210923 10.71 10.34 10.71 10.32 46857.45 4903 0.00% -0.35 -3.27%
20210922 10.47 10.69 10.83 10.31 51369.21 5432 0.00% 0.14 1.33%
20210917 10.7 10.55 10.78 10.24 38936.97 4094 0.00% -0.11 -1.03%
20210916 10.82 10.66 10.95 10.63 41164.00 4443 0.00% -0.18 -1.66%
20210915 10.66 10.84 10.88 10.47 58298.22 6241 0.00% 0.16 1.50%
20210914 10.8 10.68 10.84 10.5 51202.23 5451 0.00% -0.08 -0.74%
20210913 10.89 10.76 11.07 10.66 57036.82 6151 0.00% -0.08 -0.74%
20210910 10.68 10.84 10.98 10.68 69371.01 7528 0.00% 0.11 1.03%
20210909 10.66 10.73 10.93 10.61 52431.01 5643 0.00% 0.06 0.56%
20210908 10.56 10.67 10.84 10.56 46652.62 4997 0.00% 0.11 1.04%
20210907 10.37 10.56 10.69 10.27 45618.01 4790 0.00% 0.19 1.83%
20210906 10.38 10.37 10.54 10.15 44903.00 4622 0.00% -0.08 -0.77%
20210903 10.44 10.45 10.57 10.35 52764.07 5523 0.00% 0.04 0.38%
20210902 10.37 10.41 10.46 10.18 45618.40 4724 0.00% 0.04 0.39%
20210901 10.29 10.37 10.46 9.97 51646.01 5318 0.00% 0.12 1.17%
20210831 10.21 10.25 10.39 10.13 30176.81 3103 0.00% 0.01 0.10%
20210830 10.46 10.24 10.49 10.18 43095.53 4448 0.00% -0.09 -0.87%
20210827 10.13 10.33 10.58 10.06 41162.38 4260 0.00% 0.17 1.67%
20210826 10.22 10.16 10.44 10.13 50070.00 5154 0.00% -0.05 -0.49%
20210825 10.23 10.21 10.44 10.13 41883.38 4293 0.00% 0.01 0.10%
20210824 10.17 10.2 10.25 10.07 34055.32 3464 0.00% 0.04 0.39%
20210823 9.86 10.16 10.16 9.82 34174.00 3445 0.00% 0.30 3.04%
20210820 9.91 9.86 9.91 9.57 21954.67 2135 0.00% -0.05 -0.50%
20210819 9.81 9.91 9.96 9.78 22418.67 2211 0.00% 0.06 0.61%
20210818 9.76 9.85 10.02 9.67 26359.67 2600 0.00% 0.25 2.60%
20210817 9.8 9.6 9.92 9.57 29696.25 2901 0.00% -0.24 -2.44%
20210816 9.93 9.84 10.2 9.8 35637.58 3551 0.00% -0.08 -0.81%
20210813 9.8 9.92 9.98 9.73 29254.50 2888 0.00% 0.15 1.54%
20210812 9.56 9.77 9.87 9.54 24900.38 2424 0.00% 0.18 1.88%
20210811 9.56 9.59 9.65 9.51 17554.00 1683 0.00% 0.04 0.42%
20210810 9.45 9.55 9.6 9.45 25177.00 2398 0.00% 0.09 0.95%
20210809 9.38 9.46 9.55 9.33 22180.67 2100 0.00% 0.12 1.28%
20210806 9.34 9.34 9.43 9.25 13981.92 1305 0.00% -0.08 -0.85%
20210805 9.4 9.42 9.49 9.31 13576.00 1275 0.00% 0.02 0.21%
20210804 9.27 9.4 9.44 9.25 15291.00 1434 0.00% 0.09 0.97%
20210803 9.33 9.31 9.42 9.22 20965.08 1956 0.00% 0.05 0.54%
