日期 开盘价 收盘价 最高价 最低价 成交量（手） 成交额（万元） 换手率 涨跌额 涨跌幅（%）
20211108 9.63 9.78 9.82 9.55 21867.47 2123 0.00% 0.18 1.87%
20211105 9.52 9.6 9.81 9.43 33189.98 3196 0.00% 0.09 0.95%
20211104 9.48 9.51 9.58 9.43 14769.76 1402 0.00% -0.01 -0.11%
20211103 9.21 9.52 9.55 9.21 19292.10 1823 0.00% 0.26 2.81%
20211102 9.47 9.26 9.56 9.23 20003.20 1879 0.00% -0.25 -2.63%
20211101 9.5 9.51 9.57 9.43 16904.79 1608 0.00% -0.03 -0.31%
20211029 9.35 9.54 9.59 9.35 16706.40 1586 0.00% 0.15 1.60%
20211028 9.3 9.39 9.42 9.27 15305.60 1432 0.00% 0.04 0.43%
20211027 9.56 9.35 9.56 9.3 19902.40 1865 0.00% -0.21 -2.20%
20211026 9.57 9.56 9.63 9.52 17337.40 1658 0.00% -0.09 -0.93%
20211025 9.81 9.65 9.81 9.61 14907.89 1439 0.00% -0.01 -0.10%
20211022 9.61 9.66 9.82 9.61 17438.40 1695 0.00% 0.05 0.52%
20211021 9.75 9.61 9.8 9.6 20321.40 1970 0.00% -0.15 -1.54%
20211020 9.86 9.76 9.86 9.74 17586.22 1720 0.00% -0.07 -0.71%
20211019 9.85 9.83 9.88 9.79 23942.35 2353 0.00% -0.04 -0.41%
20211018 9.97 9.87 9.97 9.81 26724.76 2637 0.00% -0.06 -0.60%
20211015 10.13 9.93 10.18 9.89 37721.45 3769 0.00% -0.14 -1.39%
20211014 10.1 10.07 10.13 9.97 30924.84 3114 0.00% 0.04 0.40%
20211013 9.93 10.03 10.05 9.88 29456.00 2943 0.00% 0.12 1.21%
20211012 10.01 9.91 10.15 9.86 48464.40 4834 0.00% -0.22 -2.17%
20211011 10.2 10.13 10.38 10.11 66848.82 6822 0.00% -0.04 -0.39%
20211008 10.3 10.17 10.44 10.09 175901.87 17936 0.00% -0.51 -4.78%
20210930 9.99 10.68 11.0 9.93 230192.17 24774 0.00% 0.68 6.80%
20210929 9.89 10.0 10.0 9.7 33785.16 3334 0.00% 0.08 0.81%
20210928 9.88 9.92 9.97 9.8 14625.61 1447 0.00% 0.03 0.30%
20210927 10.32 9.89 10.32 9.74 43759.81 4352 0.00% -0.33 -3.23%
20210924 10.22 10.22 10.3 10.13 31340.23 3200 0.00% -0.03 -0.29%
20210923 10.26 10.25 10.34 10.2 26775.20 2755 0.00% 0.01 0.10%
20210922 10.17 10.24 10.27 9.98 37051.16 3745 0.00% 0.01 0.10%
20210917 10.54 10.23 10.63 10.12 50809.82 5218 0.00% -0.17 -1.63%
20210916 10.32 10.4 10.94 10.28 101189.27 10759 0.00% 0.10 0.97%
20210915 10.24 10.3 10.37 10.18 26669.24 2747 0.00% 0.05 0.49%
20210914 10.52 10.25 10.59 10.22 42473.81 4411 0.00% -0.27 -2.57%
20210913 10.38 10.52 10.52 10.15 66026.04 6821 0.00% 0.09 0.86%
20210910 10.45 10.43 10.6 10.37 55562.30 5831 0.00% -0.04 -0.38%
20210909 10.6 10.47 10.6 10.37 54775.68 5732 0.00% -0.14 -1.32%
20210908 10.53 10.61 10.74 10.45 59720.19 6309 0.00% 0.07 0.66%
20210907 10.35 10.54 10.55 10.3 47079.15 4918 0.00% 0.17 1.64%
20210906 10.38 10.37 10.47 10.22 39156.60 4061 0.00% -0.01 -0.10%
20210903 10.29 10.38 10.47 10.27 44421.60 4603 0.00% 0.06 0.58%
20210902 10.45 10.32 10.45 10.2 55480.19 5707 0.00% -0.11 -1.05%
20210901 10.07 10.43 10.52 10.0 83658.40 8612 0.00% 0.32 3.17%
20210831 10.0 10.11 10.2 9.96 44633.31 4504 0.00% 0.08 0.80%
20210830 9.79 10.03 10.17 9.79 61160.92 6108 0.00% 0.23 2.35%
20210827 9.79 9.8 9.85 9.73 23956.85 2344 0.00% 0.03 0.31%
20210826 9.98 9.77 9.98 9.77 34305.33 3386 0.00% -0.15 -1.51%
20210825 9.76 9.92 10.06 9.75 49760.39 4944 0.00% 0.16 1.64%
20210824 9.7 9.76 9.8 9.7 22040.19 2147 0.00% 0.01 0.10%
20210823 9.54 9.75 9.8 9.52 43276.82 4197 0.00% 0.27 2.85%
20210820 9.59 9.48 9.59 9.39 20221.40 1916 0.00% -0.14 -1.46%
20210819 9.56 9.62 9.67 9.56 20894.98 2011 0.00% 0.00 0.00%
20210818 9.39 9.62 9.75 9.36 31677.50 3018 0.00% 0.23 2.45%
20210817 9.57 9.39 9.61 9.38 25101.00 2377 0.00% -0.18 -1.88%
20210816 9.53 9.57 9.65 9.49 17391.87 1668 0.00% 0.04 0.42%
20210813 9.65 9.53 9.7 9.47 28815.91 2756 0.00% -0.18 -1.85%
20210812 9.62 9.71 9.74 9.62 25185.76 2439 0.00% 0.09 0.94%
20210811 9.63 9.62 9.72 9.6 24629.76 2374 0.00% -0.03 -0.31%
20210810 9.6 9.65 9.69 9.57 22235.92 2144 0.00% 0.05 0.52%
20210809 9.47 9.6 9.65 9.4 21668.94 2076 0.00% 0.12 1.27%
20210806 9.52 9.48 9.56 9.4 20557.11 1947 0.00% -0.04 -0.42%
20210805 9.74 9.52 9.74 9.48 29663.07 2840 0.00% -0.22 -2.26%
20210804 9.8 9.74 9.84 9.65 48248.93 4692 0.00% -0.27 -2.70%
20210803 9.52 10.01 10.23 9.49 87682.93 8695 0.00% 0.43 4.49%
20210802 9.2 9.58 9.75 9.15 50032.38 4774 0.00% 0.32 3.46%
20210730 9.15 9.26 9.26 9.08 28538.29 2621 0.00% 0.11 1.20%
20210729 9.18 9.15 9.27 9.1 23182.54 2132 0.00% 0.04 0.44%
20210728 9.32 9.11 9.33 9.07 30270.77 2778 0.00% -0.23 -2.46%
20210727 9.52 9.34 9.59 9.33 33942.14 3203 0.00% -0.19 -1.99%
20210726 9.76 9.53 9.76 9.39 42489.80 4042 0.00% -0.23 -2.36%
20210723 9.99 9.76 9.99 9.7 58265.79 5715 0.00% -0.25 -2.50%
20210722 10.01 10.01 10.08 9.92 25423.33 2536 0.00% 0.01 0.10%
20210721 9.91 10.0 10.04 9.91 27835.95 2783 0.00% 0.05 0.50%
